,producto_,precio_,precio_rel,link,oferta
0,DIA DULCE NOEL surtido de mazapán caja 300 gr ,2.09,6.97/Kg.,https://www.dia.es/compra-online/dulces-de-navidad/cf,1
1,DIA DULCE NOEL selección de especialidades bandeja 700 gr ,3.59,5.13/Kg.,https://www.dia.es/compra-online/dulces-de-navidad/cf,1
2,DIA AL PUNTO canelones de marisco bandeja 560 gr,1.99,3.55/Kg.,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,1
3,DIA EL CENCERRO queso curado cuña 300 gr,1.99,6.63/Kg.,https://www.dia.es/compra-online/frescos/cf?page=17&disp=,1
4,DIA EL CENCERRO queso curado cortado cuña 250 gr,2.21,8.84/Kg.,https://www.dia.es/compra-online/frescos/cf?page=17&disp=,1
5,LA LECHERA leche condensada lata 370 gr,1.44,3.89/Kg.,https://www.dia.es/compra-online/despensa/cf?page=46&disp=,1
6,VOLL-DAMM cerveza doble malta lata 33 cl,0.72,2.18/l.,https://www.dia.es/compra-online/bebidas/cf?page=2&disp=,1
7,VOLL-DAMM cerveza doble malta pack 6 botellas 25 cl ,3.95,2.63/l.,https://www.dia.es/compra-online/bebidas/cf?page=12&disp=,1
8,BERONIA vino tinto crianza DO Rioja botella 75 cl,7.02,9.36/l.,https://www.dia.es/compra-online/bodega/cf?page=1&disp=,1
9,BLUME vino blanco DO Rueda botella 75 cl,3.59,4.79/l.,https://www.dia.es/compra-online/bodega/cf?page=1&disp=,1
10,VIÑA ALBALI vino tinto gran reserva DO Valdepeñas botella 75 cl,3.99,5.32/l.,https://www.dia.es/compra-online/bodega/cf?page=2&disp=,1
11,BLUME vino blanco joven DO Rueda botella 75 cl,2.99,3.99/l.,https://www.dia.es/compra-online/bodega/cf?page=2&disp=,1
12,CASTILLO DE ALBAI vino tinto DO Rioja botella 75 cl,2.69,3.59/l.,https://www.dia.es/compra-online/bodega/cf?page=3&disp=,1
13,BOMBAY Original ginebra london dry botella 70 cl,11.99,17.13/l.,https://www.dia.es/compra-online/bodega/cf?page=3&disp=,1
14,FEDERICO PATERNINA vino tinto 12 meses banda azul DO Rioja botella 75 cl,4.39,5.85/l.,https://www.dia.es/compra-online/bodega/cf?page=4&disp=,1
15,ALTOS DE TAMARON vino tinto reserva DO Ribera de Duero botella 75 cl,7.99,10.65/l.,https://www.dia.es/compra-online/bodega/cf?page=4&disp=,1
16,PEÑASCAL vino rosado de aguja botella 75 cl ,2.90,3.87/l.,https://www.dia.es/compra-online/bodega/cf?page=5&disp=,1
17,CARDHU whisky 12 años botella 70 cl,23.49,33.56/l.,https://www.dia.es/compra-online/bodega/cf?page=5&disp=,1
18,MAYOR DE CASTILLA vino tinto botella 75 cl ,2.13,2.84/l.,https://www.dia.es/compra-online/bodega/cf?page=7&disp=,1
19,BEEFEATER bebida espirituosa light 20º botella 70 cl,12.00,17.14/l.,https://www.dia.es/compra-online/bodega/cf?page=10&disp=,1
20,LOS MOLINOS vino blanco verdejo DO Valdepeñas botella 75 cl,1.69,2.25/l.,https://www.dia.es/compra-online/bodega/cf,1
21,LOS MOLINOS vino tinto DO Valdepeñas botella 75 cl,1.69,2.25/l.,https://www.dia.es/compra-online/bodega/cf,1
22,DIA AL PUNTO croquetas de marisco bolsa 350 gr,1.29,3.69/Kg.,https://www.dia.es/compra-online/congelados/cf?page=7&disp=,1
23,ELVIVE crema suavizante color vive cabello teñido frasco 250 ml,2.39,9.56/l.,https://www.dia.es/compra-online/cuidado-personal/cf?page=3&disp=,1
24,ELVIVE mascarilla capilar total repair 5 tarro 300 ml,3.83,12.77/l.,https://www.dia.es/compra-online/cuidado-personal/cf?page=5&disp=,1
25,ORIGINAL REMEDIES mascarilla tesoros de miel tarro 300 ml,3.19,10.63/l.,https://www.dia.es/compra-online/cuidado-personal/cf?page=27&disp=,1
26,ORIGINAL REMEDIES aceite oliva en crema sin aclarado cabello reseco 200 ml,2.15,10.75/l.,https://www.dia.es/compra-online/cuidado-personal/cf?page=31&disp=,1
27,ORIGINAL REMEDIES mascarilla délicatesse todo tipo de cabello tarro 300 ml,3.19,10.63/l.,https://www.dia.es/compra-online/cuidado-personal/cf?page=32&disp=,1
28,FRUCTIS mascarilla hidra rizos cabello rizo u ondulado tarro 300 ml,3.75,12.50/l.,https://www.dia.es/compra-online/cuidado-personal/cf?page=33&disp=,1
29,FRUCTIS mascarilla adios daños repara y fortifica tarro 300 ml,3.75,12.50/l.,https://www.dia.es/compra-online/cuidado-personal/cf?page=33&disp=,1
30,ORIGINAL REMEDIES acondicionador tesoros de miel bote 250 ml,2.95,11.80/l.,https://www.dia.es/compra-online/cuidado-personal/cf?page=53&disp=,1
