,producto,precio,precio_rel,link,oferta
0,DIA DULCE NOEL turrón suprema Jijona estuche 150 gr,1.89,12.60/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=1&disp=,0
1,DIA DULCE NOEL turrón de yema tostada suprema estuche 150 gr,1.49,9.93/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=1&disp=,0
2,DIA DULCE NOEL turrón imperial de cacahuete estuche 150 gr,0.99,6.60/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=1&disp=,0
3,DIA DULCE NOEL turrón de crema de cacahuete estuche 150 gr,0.99,6.60/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=1&disp=,0
4,DIA DULCE NOEL almendra rellena surtido 10 gr,0.13,12.90/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=1&disp=,0
5,DIA DULCE NOEL turrón de tres chocolates estuche 150 gr,1.49,9.93/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=1&disp=,0
6,DIA DULCE NOEL turrón de chocolate blanco crujiente estuche 200 gr,1.49,7.45/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=1&disp=,0
7,DIA DULCE NOEL turrón chocolate con leche crujiente clásico estuche 200 gr,0.99,4.95/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=1&disp=,0
8,DIA DULCE NOEL turrón de praliné de trufa suprema estuche 150 gr,1.59,10.60/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=1&disp=,0
9,DIA DULCE NOEL turrón de coco extra estuche 150 gr,0.99,6.60/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=1&disp=,0
10,DIA DULCE NOEL turrón de chocolate con cacahuetes con miel estuche 150 gr,0.99,6.60/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=1&disp=,0
11,DIA DULCE NOEL turrón crujiente con galletas estuche 200 gr,1.49,7.45/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=1&disp=,0
12,DIA DULCE NOEL mazapán de soto/ empanada de yema surtido 26 gr,0.34,12.90/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=1&disp=,0
13,DIA DULCE NOEL turrón praliné de ron con pasas estuche 150 gr,1.69,11.27/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=1&disp=,0
14,DIA DULCE NOEL rosco de vino surtido 32 gr,0.13,3.95/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=1&disp=,0
15,DIA DULCE NOEL turrón cacao almendra/crujiente surtido 20 gr,0.26,12.90/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=1&disp=,0
16,DIA DULCE NOEL polvorón almendra surtido 45 gr,0.18,3.95/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=1&disp=,0
17,DIA DULCE NOEL turrón de chocolate con leche con almendras estuche 200 gr,1.79,8.95/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=1&disp=,0
18,DIA DULCE NOEL turrón de chocolate negro crujiente estuche 200 gr,1.49,7.45/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=1&disp=,0
19,DIA DULCE NOEL mantecado de limón/cacao/canela surtido 48 gr,0.19,3.95/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=1&disp=,0
20,DIA DULCE NOEL cortadillo cabello surtido 43 gr,0.17,3.95/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=1&disp=,0
21,DIA DULCE NOEL hojaldrada clásica surtido 25 gr,0.10,3.95/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=1&disp=,0
22,DIA DULCE NOEL mantecado aceite de oliva/sésamo surtido 42 gr,0.17,3.95/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=1&disp=,0
23,DIA DULCE NOEL figurita de mazapán surtido 15 gr,0.19,12.90/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=1&disp=,0
24,SUCHARD turrón de chocolate oreo blanco estuche 260 gr,3.49,13.42/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0
25,DIA DULCE NOEL turrón praliné de crema catalana estuche 150 gr,1.59,10.60/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0
26,LACASA turrón crujiente de chocolate estuche 150 gr,1.00,6.67/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0
27,LACASA turrón crujiente chocolate negro estuche 150 gr,1.00,6.67/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0
28,DIA DULCE NOEL turrón imperial de almendras sin azúcar estuche 150 gr,2.19,14.60/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0
29,DIA DULCE NOEL turrón de crema de almendras sin azúcar estuche 150 gr,2.19,14.60/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0
30,DIA DULCE NOEL turrón crujiente blanco con galletas estuche 200 gr,1.49,7.45/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0
31,DIA DULCE NOEL turrón con grajeas de chocolate estuche 100 gr,0.99,9.90/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0
32,NESTLE turrón jungly de chocolate estuche 232 gr,2.99,12.89/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0
33,IL VECCHIO panettone lata 750 gr,6.99,9.32/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0
34,NESTLE chocolate extrafino Reyes Mayos lata 60 gr (modelo aleatorio),2.69,44.83/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0
35,NESTLE lote chocolate extrafino y peluche caja 260 gr (modelo aleatorio),7.49,28.81/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0
36,KINDER casita mini mix navidad caja 76 gr (modelo aleatorio) ,2.75,36.18/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0
37,DIA DULCE NOEL polvorones sin azúcar a granel unidad (35 gr peso aprox.),0.14,3.95/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0
38,DIA DULCE NOEL alfajor de almendra y avellana a granel unidad (24 gr peso aprox.),0.31,12.90/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0
39,DIA DULCE NOEL turrón con dulce de leche estuche 150 gr,1.59,10.60/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0
40,NICKELODEON mix de chocolate adorno de Navidad 20 gr (modelo aleatorio),1.99,99.50/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0
41,NICKELODEON mix de caramelos árbol de Navidad lata 80 gr (modelo aleatorio) ,3.99,49.88/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0
42,NICKELODEON mix de caramelos lata redonda 90 gr (modelo aleatorio),4.99,62.38/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0
43,NICKELODEON mix de caramelos calcetín de Navidad lata 80 gr (modelo aleatorio),3.99,49.88/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0
44,DIA DULCE NOEL roscón de nata caja 550 gr,6.99,12.71/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0
45,EL MOLINO DE DIA mini panettone clásico bolsa 100 gr,0.99,9.90/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=2&disp=,0
46,MATA hojaldrinas bolsa 400 gr,3.15,7.88/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0
47,EL LOBO turrón de alicante estuche 250 gr,3.49,17.45/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0
48,LACASA turrón guirlache de aragón estuche 240 gr,5.49,22.88/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0
49,DIA DULCE NOEL panettone de chocolate caja 500 gr,2.99,5.98/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0
50,LA ESTEPEÑA surtido navidad caja 850 gr,7.30,8.59/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0
51,DIA DULCE NOEL figuritas de mazapán caja 200 gr,1.85,9.25/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0
52,DIA DULCE NOEL panettone clásico con frutas caja 500 gr,2.99,5.98/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0
53,EL LOBO turrón de Jijona estuche 250 gr,3.49,17.45/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0
54,EL LOBO torta turrón de alicante estuche 200 gr,3.19,21.27/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0
55,EL LOBO turrón de yema tostada estuche 200 gr,3.49,17.45/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0
56,SUCHARD turrón de chocolate estuche 260 gr ,3.49,13.42/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0
57,SUCHARD turrón de chocolate oreo blanco estuche 260 gr,3.49,13.42/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0
58,SUCHARD turrón de chocolate con oreo estuche 260 gr,3.49,13.42/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0
59,RIEGELEIN figura de chocolate con leche Reyes Magos 1 ud 60 gr  (modelo aleatorio),1.00,16.67/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0
60,DIA DULCE NOEL pastas surtidas lata 400 gr (modelo aleatorio),4.49,11.23/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0
61,LA HORNADA DIA pandoro con chocolate bolsa 750 gr,3.99,5.32/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0
62,MIDEL bastón navidad de caramelo 40 gr ,1.00,25.00/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0
63,LA HORNADA DIA panettone clásico bolsa 900 gr,3.99,4.43/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0
64,LA HORNADA DIA pandoro clásico bolsa 750 gr,3.99,5.32/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0
65,LA HORNADA DIA mini panettone de chocolate bolsa 100 gr,0.99,9.90/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0
66,SUCHARD turrón clásico de chocolate lata 2 uds 520 gr,7.49,14.40/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0
67,DIA DULCE NOEL turrón suprema Alicante estuche 150gr,1.89,12.60/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf,0
68,EL MOLINO DE DIA empanada de atún 550 gr,3.10,5.64/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=1&disp=,0
69,Ensalada mixta bandeja 400 gr ,1.85,4.63/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=1&disp=,0
