,precio_,precio_rel,producto,link
0,"
1,67 €","24,20 €/kg",Mejillones en escabeche Calvo 69 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72
1,"
1,45 €","8,06 €/kg",Doble caldo carne Knorr sin gluten y sin lactosa 18 pastillas,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=216
2,"
2,29 €","15,90 €/kg",Calamares en su tinta Calvo sin gluten y sin lactosa pack de 3 unidades de 48 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=240
3,"
3,19 €","6,38 €/kg",Guacamole Carrefour 500 g,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=360
4,"
3,99 €","5,12 €/kg",Cacao soluble instantaneo Nestle Nesquik sin gluten y sin lactosa 780 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=552
5,"
1,67 €","24,20 €/kg",Mejillones de las rias gallegas en escabeche picantes Calvo sin gluten y sin lactosa 69 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=624
6,"
1,48 €","1,48 €/l",Bebida de soja clasica sin azucar ViveSoy brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=672
7,"
1,88 €","12,53 €/kg",Aceitunas verdes rellenas de anchoa Gran Seleccion Serpis sin gluten y sin lactosa 150 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=696
8,"
2,69 €","5,98 €/kg",Margarina rica en omega 3 Flora sin gluten sin lactosa sin aceite de palma 450 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=744
9,"
5,75 €","23,96 €/kg",Mejillones de las rias gallegas en escabeche Calvo sin gluten y sin lactosa pack de 6 unidades de 40 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=888
10,"
1,49 €","7,45 €/kg",Guacamole Carrefour 200 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=24
11,"
3,37 €","6,75 €/kg","Dorada de racion Carrefour 500 g aprox
Tipo de corte:
Entero",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=24
12,"
2,10 €","11,67 €/kg",Jamon cocido extra lonchas gran bouquet Embutidos Noel 180 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=120
13,"
2,10 €",15 €/kg,Pechuga de pavo lonchas Grand Bouquet Noel envase 150 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=288
14,"
2,35 €","12,37 €/kg",Jamon cocido extra Receta Artesana El Pozo sin gluten y sin lactosa 170 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=312
15,"
3,29 €","23,84 €/kg",Jamon curado lonchas Navidul sin gluten pack de 2 unidades de 138 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=312
16,"
3,19 €","6,38 €/kg",Guacamole Carrefour 500 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=312
17,"
2,35 €","13,82 €/kg",Pechuga de pavo asada en lonchas Receta Artesana El Pozo sin gluten y sin lactosa 170 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=360
18,"
2,35 €","13,82 €/kg",Jamon de pavo cocido trufado con boletus Receta Artesana El Pozo sin gluten y son lactosa 170 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=408
19,"
2,10 €","12,35 €/kg",Pechuga de pavo bajo en grasa y sal loncheada Noel envase 180 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=480
20,"
2,35 €","13,82 €/kg",Pechuga de pollo asada en lonchas Receta Artesana El Pozo sin gluten y sin lactosa 170 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=600
21,"
5,97 €","11,95 €/kg","Dorada Circulo de Calidad 500 g aprox
Tipo de corte:
Entero",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=888
22,"
16 €","5,33 €/ud","
Anadir
",https://www.carrefour.es/supermercado/limpieza-y-hogar/cat20005/c?offset=912
23,"
19,99 €","19,99 €/ud","
Anadir
",https://www.carrefour.es/supermercado/limpieza-y-hogar/cat20005/c?offset=984
24,"
19,99 €","6,66 €/ud","
Anadir
",https://www.carrefour.es/supermercado/limpieza-y-hogar/cat20005/c?offset=984
25,"
1,49 €","7,45 €/kg",Guacamole Carrefour 200 g,https://www.carrefour.es/supermercado/la-despensa/cat20001/c
