,precio_anterior,precio,precio_rel_ojo,producto,gluten,lactosa,link
0,"
2,05 €","1,95 €/kg",Tomate frito Orlando sin gluten pack de 3 briks de 350 g.,Sin gluten,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24
1,"
2,67 €","4,11 €/l",Mayonesa Hellmann's sin gluten tarro 650 ml.,Sin gluten,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=48
2,"
2,35 €","2,12 €","5,34 €/kg
 | 
4,82 €/kg",Yogur griego con stracciatella Danone Oikos sin gluten pack de 4 unidades de 110 g.,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=48
3,"
3,99 €","13,30 €/kg",Pistacho tostado Carrefour bolsa de 300 g,Sin gluten,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72
4,"
2,19 €","7,77 €/kg",Patatas fritas al punto de sal Lay's sin gluten y sin lactosa 282 g.,Sin gluten,Sin lactosa,"Agotado temporalmente
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72
5,"
2,19 €","4,98 €/kg",Yogur griego natural Danone Oikos sin gluten pack de 4 unidades de 110 g.,Sin gluten,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72
6,"
0,99 €","2,83 €/kg",Tomate frito Hida sin gluten y sin lactosa lata 350 g.,Sin gluten,Sin lactosa,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=120
7,"
0,99 €","3,30 €/kg",Tomate frito ecologico Carrefour Bio sin gluten 300 g.,Bio,Sin gluten,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=120
8,"
1,69 €","2,82 €/kg",Tortilla de patatas con cebolla Carrefour Classic' sin gluten sin lactosa 600 g.,Sin gluten,Sin lactosa,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=120
9,"
1,09 €","4,04 €/kg",Cuajada Danone sin gluten pack de 2 unidades de 135 g.,Sin gluten,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=144
10,"
3,24 €","9,26 €/kg",Pizza caprese fina y crujiente Forno di Pietra Buitoni 350 g.,Congelado,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=168
11,"
3,48 €","10,24 €/kg",Pizza quattro formaggi Ristorante Dr. Oetker 340 g.,Congelado,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=168
12,"
1,62 €","1,43 €","16,20 €/kg
 | 
14,30 €/kg",Conos de maiz Lay's 3D's 100 g.,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=168
13,"
2,19 €","4,98 €/kg",Yogur griego azucarado natural Danone Oikos sin gluten pack de 4 unidades de 110 g.,Sin gluten,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=192
14,"
3,24 €","9,26 €/kg",Pizza 4 quesos fina y crujiente Forno Di Pietra Buitoni 350 g.,Congelado,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=192
15,"
1,19 €","1,15 €","5,41 €/kg
 | 
5,23 €/kg",Copa de chocolate con nata Danone La Copa pack de 2 unidades de 110 g.,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=192
16,"
1,68 €","1,53 €","3,91 €/l
 | 
3,56 €/l",Ketchup Hellmann's envase 430 g.,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=192
17,"
3,24 €","9,97 €/kg",Pizza barbacoa fina y crujiente Forno di Pietra Buitoni 325 g.,Congelado,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=192
18,"
1,73 €","1,60 €","1,73 €/kg
 | 
1,60 €/kg",Arroz integral Sos 1 kg.,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=192
19,"
1,62 €","1,56 €","10,80 €/kg
 | 
10,40 €/kg",Aceitunas negras cacerenas sin hueso Serpis sin gluten y sin lactosa150 g.,Ver productos de la promocion,"Agotado temporalmente
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=192
20,"
2,35 €","5,34 €/kg",Yogur griego con fresas Danone Oikos sin gluten pack de 4 unidades de 110 g.,Sin gluten,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=216
21,"
1,32 €","15,71 €/kg",Sardinas en aceite de oliva bajo en sal Calvo 84 g.,Sin lactosa,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=216
22,"
7,43 €","4,95 €/kg","Cacao soluble instantaneo Nestle Nesquik sin gluten y sin lactosa bolsa de 1,5 kg.",Sin gluten,Sin lactosa,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=240
23,"
1,59 €","6,63 €/kg",Hummus tradicional Taste Realfooding Shukran sin gluten sin lactosa 240 g.,Sin gluten,Sin lactosa,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=240
24,"
1,90 €","7,60 €/kg",Turron de yema tostada Carrefour Sensation sin gluten 250 g.,Sin gluten,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=240
