,precio_anterior,precio,precio_rel_,producto,gluten,lactosa,prom,link
0,"
6,99 €","6,55 €","22,40 €/kg
 | 
20,99 €/kg",Atun claro en aceite de oliva Calvo sin lactosa pack de 6 latas de 52 g.,Sin lactosa,Ver productos de la promocion,"Agotado temporalmente
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72
1,"
3,24 €","3,19 €","9,26 €/kg
 | 
9,11 €/kg",Pizza de jamon y queso fina y crujiente Forno Di Pietra Buitoni 350 g.,Congelado,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=96
2,"
2,73 €","2,70 €","4,20 €/kg
 | 
4,15 €/kg",Mayonesa Ligeresa sin lactosa tarro 650 ml.,Sin lactosa,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=192
3,"
2,89 €","2,85 €","10,70 €/kg
 | 
10,56 €/kg",Piccolinis capricciosa Buitoni 270 g.,Congelado,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=216
4,"
2,85 €","2,69 €","11,40 €/kg
 | 
10,76 €/kg",Pannini de jamon y queso Dr. Oetker 250 g.,Congelado,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=456
5,"
2,31 €","15,40 €/kg",Pechuga de pavo natural asada Frial al corte 150 g aprox,"Sin gluten
Tipo de corte:
Loncha fina 1mm",Loncha gruesa 3/4mm,Loncha normal 2/3mm,"Anadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=96
6,"
2,09 €","1,99 €","9,09 €/kg
 | 
8,65 €/kg",Masa hojaldre rectangular Buitoni sin lactosa 230 g.,Sin lactosa,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=168
7,"
2,55 €","2,55 €/ud","Pan payes grande Hecho aqui Carrefour 800 g
Tipo de corte:
Rebanada fina",Rebanada gruesa,Rebanada mediana,Pieza,"Anadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=384
8,"
2,69 €","2,50 €","9,61 €/kg
 | 
8,93 €/kg",Masa para empanada Buitoni sin lactosa 280 g.,Sin lactosa,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=456
9,"
1,04 €","6,95 €/kg","Queso fresco villalon Carrefour 150 g aprox
Tipo de corte:
Cuna de 1/4",Cuna de 1/8,Medio queso,Queso entero,"Anadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=576
10,"
1,81 €","12,10 €/kg",Jamon cocido extra braseado El Pozo Edicion 1954 al corte sin gluten 150 g aprox,"Sin gluten
Tipo de corte:
Loncha fina 1mm",Loncha gruesa 3/4mm,Loncha normal 2/3mm,"Anadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=600
11,"
2,25 €","2,25 €/ud","Pan de trigo sarraceno 5% 1 ud
Tipo de corte:
Pieza",Rebanada fina,Rebanada mediana,Rebanada gruesa,"Anadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=696
12,"
2,53 €","16,85 €/kg",Jamon cocido extra La Selva al corte 150 g aprox,"Sin gluten
Tipo de corte:
Loncha fina 1mm",Loncha gruesa 3/4mm,Loncha normal 2/3mm,"Anadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=720
13,"
1,08 €","7,20 €/kg",Mortadela iberica Legado El Pozo sin gluten 150 g aprox,"Sin gluten
Tipo de corte:
Loncha fina 1mm",Loncha gruesa 3/4mm,Loncha normal 2/3mm,"Anadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=792
14,"
1,55 €","10,35 €/kg",Pechuga de pavo ElPozo al corte 150 g aprox,"Sin gluten
Tipo de corte:
Loncha fina 1mm",Loncha gruesa 3/4mm,Loncha normal 2/3mm,"Anadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=816
15,"
1,35 €","8,99 €/kg",Chopped de lata cuadrada La Selva 150 g aprox,"Sin gluten
Tipo de corte:
Loncha fina 1mm",Loncha gruesa 3/4mm,Loncha normal 2/3mm,"Anadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=840
16,"
1,81 €","12,10 €/kg",Pechuga de pavo reducido en sal 0% grasa ElPozo al corte 150 g aprox ,"Sin gluten
Tipo de corte:
Loncha fina 1mm",Loncha gruesa 3/4mm,Loncha normal 2/3mm,"Anadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=888
17,"
2,98 €","19,90 €/kg",Centro de jamon curado bodega reducido en sal Villar sin lactosa 150 g aprox,"Sin lactosa
Tipo de corte:
Loncha fina 1mm",Loncha gruesa 3/4mm,Loncha normal 2/3mm,"Anadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=960
18,"
2 €",2 €/ud,"Hogaza de pan integral 100% Hecho aqui Carrefour 400 g
Tipo de corte:
Pieza",Rebanada fina,Rebanada gruesa,Rebanada mediana,"Anadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=960
19,"
1,58 €","10,55 €/kg",Mortadela big bologna Oscar Mayer al corte 150 g aprox,"Sin gluten
Tipo de corte:
Loncha fina 1mm",Loncha gruesa 3/4mm,Loncha normal 2/3mm,"Anadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=960
20,"
1,66 €","6,65 €/kg",Mortadela de pavo con aceitunas El Pozo sin gluten 250 g aprox,"Sin gluten
Tipo de corte:
Loncha fina 1mm",Loncha gruesa 3/4mm,Loncha normal 2/3mm,"Anadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=984
21,"
9,99 €","9,59 €","0,29 €/lavado
 | 
0,27 €/lavado",Detergente liquido jazmin fresco y lavanda silvestre ecologico Botanical Origin 35 lavados.,Bio,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/limpieza-y-hogar/cat20005/c?offset=336
22,"
1,93 €","1,85 €","55,14 €/kg
 | 
52,86 €/kg",Snack de cereales con frambuesa ecologico Nutripuffs Naturnes Bio Nestle 35 g.,Bio,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/bebe/cat20006/c?offset=24
