,precio,precio_anterior,precio_rel,producto,link
0,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24
1,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24
2,2.05 ,1.93 ,2.23 /kg | 2.10 /kg,Tomate frito Solis sin gluten y sin lactosa pack 2 tarros de 460 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=48
3,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche desnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=48
4,2.35 ,2.12 ,5.34 /kg | 4.82 /kg,Yogur griego con stracciatella Danone Oikos sin gluten pack de 4 unidades de 110 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=48
5,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=48
6,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=48
7,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72
8,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72
9,6.69 ,6.19 ,3.34 /l | 3.09 /l,Caldo natural de pollo Aneto sin gluten y sin lactosa pack de 2 briks de 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=96
10,3.24 ,3.19 ,9.26 /kg | 9.11 /kg,Pizza de jamon y queso fina y crujiente Forno Di Pietra Buitoni 350 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=96
11,3.37 ,3.25 ,1.35 /docena | 1.30 /docena,Huevos M Carrefour 30 ud.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=96
12,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=96
