,precio,precio/kg,producto,anadir,none,link,m,k,s
0,"
1,17 €","0,78 €/kg","Azúcar blanco Azucarera 1,5 kg.","Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24,,,,
1,"
3,95 €","3,95 €/l",Aceite de oliva virgen extra Carrefour 1 l.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24,,,,
2,"
0,22 €","0,22 €/kg",Sal marina fina Carrefour 1 kg.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24,,,,
3,"
1,05 €","1,31 €/kg",Galletas María dorada Carrefour sin aceite de palma 800 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24,,,,
4,"
1,80 €","0,90 €/kg","Yogur de fresa, de macedonia, de limón y de fresa-plátano Carrefour pack de 16 unidades de 125 g.","Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24,,,,
5,"
1,99 €","3,98 €/docena",Huevos M-L ecológicos Carrefour Bio 6 ud.,Bio,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24,,,
6,"
0,86 €","0,86 €/kg",Arroz largo categoría primera Carrefour 1 kg.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24,,,,
7,"
3,20 €","3,20 €/l","Aceite de oliva suave 0,4º Carrefour 1 l.","Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24,,,,
8,"
1,30 €","1,30 €/kg",Fideo cabellín Carrefour 1 kg.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=48,,,,
9,"
2,05 €","1,95 €/kg",Tomate frito Orlando sin gluten pack de 3 briks de 350 g.,Sin gluten,Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=48,,
10,"
15,50 €","3,10 €/l","Aceite de oliva suave 0,4º Carrefour garrafón 5 l.","Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=48,,,,
