,producto,precio,precio/kg,none
0,LA HORNADA DIA panettone clásico bolsa 900 gr,3.99,4.43/Kg,
1,LA HORNADA DIA pandoro clásico bolsa 750 gr,3.99,5.32/Kg,
2,LA HORNADA DIA mini panettone de chocolate bolsa 100 gr,0.99,9.90/Kg,
3,SUCHARD turrón clásico de chocolate lata 2 uds 520 gr,7.49,14.40/Kg,
4,DIA DULCE NOEL turrón suprema Alicante estuche 150gr,1.89,12.60/Kg,
5,DIA DULCE NOEL turrón suprema Jijona estuche 150 gr,1.89,12.60/Kg,
6,DIA DULCE NOEL turrón de yema tostada suprema estuche 150 gr,1.49,9.93/Kg,
7,DIA DULCE NOEL turrón imperial de cacahuete estuche 150 gr,0.99,6.60/Kg,
8,DIA DULCE NOEL turrón de crema de cacahuete estuche 150 gr,0.99,6.60/Kg,
9,DIA DULCE NOEL almendra rellena surtido 10 gr,0.13,12.90/Kg,
10,DIA DULCE NOEL turrón de tres chocolates estuche 150 gr,1.49,9.93/Kg,
11,"DIA DULCE NOEL turrón de chocolate blanco crujiente estuche 200 gr


1.49",0.99,"

7.45/Kg.
4.95/Kg.

","		0.99 €



"
12,DIA DULCE NOEL turrón chocolate con leche crujiente clásico estuche 200 gr,0.99,4.95/Kg,
13,DIA DULCE NOEL turrón de praliné de trufa suprema estuche 150 gr,1.59,10.60/Kg,
14,DIA DULCE NOEL turrón de coco extra estuche 150 gr,0.99,6.60/Kg,
15,DIA DULCE NOEL turrón de chocolate con cacahuetes con miel estuche 150 gr,0.99,6.60/Kg,
16,DIA DULCE NOEL turrón crujiente con galletas estuche 200 gr,1.49,7.45/Kg,
17,DIA DULCE NOEL mazapán de soto/ empanada de yema surtido 26 gr,0.34,12.90/Kg,
18,DIA DULCE NOEL turrón praliné de ron con pasas estuche 150 gr,1.69,11.27/Kg,
19,DIA DULCE NOEL rosco de vino surtido 32 gr,0.13,3.95/Kg,
20,DIA DULCE NOEL turrón cacao almendra/crujiente surtido 20 gr,0.26,12.90/Kg,
21,DIA DULCE NOEL polvorón almendra surtido 45 gr,0.18,3.95/Kg,
22,DIA DULCE NOEL turrón de chocolate con leche con almendras estuche 200 gr,1.79,8.95/Kg,
23,DIA DULCE NOEL turrón de Jijona artesano estuche 240 gr,3.49,14.54/Kg,
24,"DIA DULCE NOEL turrón de chocolate negro crujiente estuche 200 gr


1.49",0.99,"

7.45/Kg.
4.95/Kg.

","		0.99 €



"
25,DIA DULCE NOEL mantecado de limón/cacao/canela surtido 48 gr,0.19,3.95/Kg,
26,DIA DULCE NOEL cortadillo cabello surtido 43 gr,0.17,3.95/Kg,
27,DIA DULCE NOEL hojaldrada clásica surtido 25 gr,0.10,3.95/Kg,
28,DIA DULCE NOEL mantecado aceite de oliva/sésamo surtido 42 gr,0.17,3.95/Kg,
29,DIA DULCE NOEL figurita de mazapán surtido 15 gr,0.19,12.90/Kg,
30,DIA DULCE NOEL turrón praliné de crema catalana estuche 150 gr,1.59,10.60/Kg,
31,SUCHARD turrón de chocolate mini caja 192 gr,4.79,24.95/Kg,
32,LACASA turrón crujiente de chocolate estuche 150 gr,1.00,6.67/Kg,
