,producto,producto_1,otro,precio/kilo
0,"




                    Longaniza sin tripa








-23%
						antes:
								1.69


					 1.29*


						1 kg = 3.44




                8 unidades.






            Compra ",                    Longaniza sin tripa-23%antes:1.69 1.29*1 kg = 3.44                8 unidades.            Compra ,                    Longaniza sin tripa-23%antes:1.69 1.29,1 kg = 3.44                8 unidades.            Compra 
1,"







                    Pechuga empanada








					 2.59


						1 kg = 5.76




                Origen España.






            Compra ",                    Pechuga empanada 2.591 kg = 5.76                Origen España.            Compra ,                    Pechuga empanada 2.591 kg = 5.76                Origen España.            Compra ,
2,"







                    Secreto








-21%
						antes:
								3.29


					 2.59*


						1 kg = 4.32




                Origen España.






            Compra ",                    Secreto-21%antes:3.29 2.59*1 kg = 4.32                Origen España.            Compra ,                    Secreto-21%antes:3.29 2.59,1 kg = 4.32                Origen España.            Compra 
3,"







                    Alitas adobadas








					 2.29*


						1 kg = 4.58




                Origen España.






            Compra ",                    Alitas adobadas 2.29*1 kg = 4.58                Origen España.            Compra ,                    Alitas adobadas 2.29,1 kg = 4.58                Origen España.            Compra 
4,"







                    Pechuga entera








					 3.79*


						1 kg = 6.32




                Origen España.






            13.12. 
                    Disponible ",                    Pechuga entera 3.79*1 kg = 6.32                Origen España.            13.12.                     Disponible ,                    Pechuga entera 3.79,1 kg = 6.32                Origen España.            13.12.                     Disponible 
5,"







                    Albóndigas pollo y pavo








-23%
						antes:
								2.99


					 2.29*


						1 kg = 5.46




                18 unidades.






            13.12. 
                    Disponible ",                    Albóndigas pollo y pavo-23%antes:2.99 2.29*1 kg = 5.46                18 unidades.            13.12.                     Disponible ,                    Albóndigas pollo y pavo-23%antes:2.99 2.29,1 kg = 5.46                18 unidades.            13.12.                     Disponible 
6,"







                    Pechuga pato fileteada








					 6.49*


						1 kg = 18.03




                Origen España.






            16.12. 
                    Disponible ",                    Pechuga pato fileteada 6.49*1 kg = 18.03                Origen España.            16.12.                     Disponible ,                    Pechuga pato fileteada 6.49,1 kg = 18.03                Origen España.            16.12.                     Disponible 
7,"







                    Pollo certificado relleno








					 7.99*





                Queso cabra y mermelada tomate.






            16.12. 
                    Disponible ",                    Pollo certificado relleno 7.99*                Queso cabra y mermelada tomate.            16.12.                     Disponible ,                    Pollo certificado relleno 7.99,                Queso cabra y mermelada tomate.            16.12.                     Disponible 
8,"







                    Perdiz








-38%
						antes:
								12.95


					 7.99*












            16.12. 
                    Disponible ",                    Perdiz-38%antes:12.95 7.99*            16.12.                     Disponible ,                    Perdiz-38%antes:12.95 7.99,            16.12.                     Disponible 
9,"







                    Codornices








					 4.99*





                Pack 2.






            16.12. 
                    Disponible ",                    Codornices 4.99*                Pack 2.            16.12.                     Disponible ,                    Codornices 4.99,                Pack 2.            16.12.                     Disponible 
10,"



",,,
11,"




                    Filete de dorada








					 5.19*


						1 kg = 17.30




                Ideal para plancha.






            Compra ",                    Filete de dorada 5.19*1 kg = 17.30                Ideal para plancha.            Compra ,                    Filete de dorada 5.19,1 kg = 17.30                Ideal para plancha.            Compra 
12,"







                    Bacalao al punto de sal








					 5.49*


						1 kg = 10.98




                Sin espinas. Listo para cocinar.






            Compra ",                    Bacalao al punto de sal 5.49*1 kg = 10.98                Sin espinas. Listo para cocinar.            Compra ,                    Bacalao al punto de sal 5.49,1 kg = 10.98                Sin espinas. Listo para cocinar.            Compra 
13,"







                    Rodajas de salmón








SUPERPRECIO
						antes:
								7.11


					 6.49*


						1 kg = 14.43




                Origen: Noruega.






            Compra ",                    Rodajas de salmónSUPERPRECIOantes:7.11 6.49*1 kg = 14.43                Origen: Noruega.            Compra ,                    Rodajas de salmónSUPERPRECIOantes:7.11 6.49,1 kg = 14.43                Origen: Noruega.            Compra 
14,"







                    Centros de merluza








-22%
						antes:
								6.47


					 4.99*


						1 kg = 14.26











            Compra ",                    Centros de merluza-22%antes:6.47 4.99*1 kg = 14.26            Compra ,                    Centros de merluza-22%antes:6.47 4.99,1 kg = 14.26            Compra 
15,"







                    Delicias del mar al ajillo








-25%
						antes:
								1.59


					 1.19*


						100 g = 0.60











            13.12. 
                    Disponible ",                    Delicias del mar al ajillo-25%antes:1.59 1.19*100 g = 0.60            13.12.                     Disponible ,                    Delicias del mar al ajillo-25%antes:1.59 1.19,100 g = 0.60            13.12.                     Disponible 
