,producto,precio,cantidad,medida,cantidad_
0,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
1,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
2,Tomate frito Solis sin gluten y sin lactosa pack 2 tarros de 460 g.,1.93,0.919,kg,0.919
3,Leche desnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
4,Yogur griego con stracciatella Danone Oikos sin gluten pack de 4 unidades de 110 g.,2.12,0.44,kg,0.44
5,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
6,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
7,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
8,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
9,Caldo natural de pollo Aneto sin gluten y sin lactosa pack de 2 briks de 1 l.,6.19,2.003,L,2.003
10,Pizza de jamon y queso fina y crujiente Forno Di Pietra Buitoni 350 g.,3.19,0.35,kg,0.35
11,Huevos M Carrefour 30 ud.,3.25,2.5,ud,2.5
12,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
13,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
14,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
15,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
16,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
17,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
18,Conos de maiz Lay's 3D's 100 g.,1.43,0.1,kg,0.1
19,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
20,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
21,Ketchup Hellmann's envase 430 g.,1.53,0.43,L,0.43
22,Copa de chocolate con nata Danone La Copa pack de 2 unidades de 110 g.,1.15,0.22,kg,0.22
23,Arroz integral Sos 1 kg.,1.6,1.0,kg,1.0
24,Mayonesa Ligeresa sin lactosa tarro 650 ml.,2.7,0.651,kg,0.651
25,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
26,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
27,Piccolinis capricciosa Buitoni 270 g.,2.85,0.27,kg,0.27
28,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
29,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
30,Calamares en salsa americana Calvo sin gluten y sin lactosapack de 3 unidades de 48 g.,2.09,0.144,kg,0.144
31,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
32,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
33,Galletas Mini The Simpson Siro 275 g.,1.79,0.275,kg,0.275
34,Figuritas de mazapan Carrefour Sensation 300 g.,2.5,0.3,kg,0.3
35,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
36,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
37,Mantequilla facil de untar President 250 g.,3.15,0.25,kg,0.25
38,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
39,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
40,Arroz bomba Sos 1 kg.,3.75,1.0,kg,1.0
41,Mejillones de las rias gallegas en escabeche Calvo sin gluten y sin lactosa 69 g.,2.65,0.069,kg,0.069
42,Arroz con leche Danone sin gluten pack de 2 unidades de 130 g.,1.14,0.26,kg,0.26
43,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
44,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
45,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
46,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
47,Guisantes tiernos y muy finos sin azucares anadidos Bonduelle pack de 3 unidades de 140 g.,2.55,0.42,kg,0.42
48,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
49,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
50,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
51,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
52,Galletas Maria sin azucar Zero Gullon 400 g.,1.8,0.4,kg,0.4
53,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
54,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
55,Patatas fritas sal marina y trufa negra gourmet Lay's 150 g.,2.15,0.15,kg,0.15
56,Leche desnatada 0% MG Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
