,producto,precio,cantidad,medida
0,DIA EL CENCERRO queso semicurado cortado cuna 250 gr,2.69,0.25,kg
1,DIA EL CENCERRO queso semicurado cuna 300 gr,2.35,0.3,kg
2,MILKA chocolate con galleta tableta 300 gr,2.89,0.3,kg
3,MILKA chocolate con leche tableta 270 gr,1.99,0.27,kg
4,DANONE DANET natillas vainilla pack 4 unidades 120 gr,2.15,0.48,kg
5,DANONE DANET natillas de chocolate pack 4 unidades 120 gr,2.15,0.48,kg
6,MILKA chocolate relleno de caramelo y avellanas tableta 300 gr,2.99,0.3,kg
7,DANONE copa chocolate 2 unidades x 110 gr,1.45,0.22,kg
8,DANONE OIKOS yogur griego natural pack 4 unidades 110 gr,2.25,0.44,kg
9,DANONE OIKOS yogur griego natural azucarado pack 4 unidades 110 gr,2.25,0.44,kg
10,DANONE flan de vainilla pack 4 unidades 100 g,1.65,0.4,kg
11,FERRERO rocher bombones caja 375 gr ,8.99,0.375,kg
12,MILKA chocolate con avellanas tableta 270 gr,3.09,0.27,kg
13,OREO galletas banadas en chocolate blanco caja 6 uds 246 gr ,2.39,0.246,kg
14,RAFFAELLO bombones caja 150 gr,3.59,0.15,kg
15,DANONE OIKOS yogur griego con caramelo pack 2 unidades 110 gr,1.45,0.22,kg
16,DANONE arroz con leche pack 2 unidades 130 gr ,1.35,0.26,kg
17,DANONE flan de queso pack 4 unidades 100 gr ,2.39,0.4,kg
18,MON CHERI bombones de chocolate con cereza caja 157 gr,4.29,0.157,kg
19,TWIX mini barritas rellenas de caramelo con chocolate con leche bolsa 130 gr ,1.59,0.13,kg
20,SNICKERS Mini barritas rellenas de caramelo con cacahuetes bolsa 144 gr ,1.59,0.144,kg
21,MILKA chocolate relleno de caramelo y cacahuetes tableta 276 gr ,3.09,0.276,kg
22,MARS mini chocolatinas bolsa 130 gr ,1.59,0.13,kg
23,DANONE OIKOS yogur griego tarta de arandanos pack 2 unidades 110 gr ,1.45,0.22,kg
24,DANONE OIKOS yogur griego stracciatella pack 4 unidades 110 gr,2.45,0.44,kg
25,MILKA chocolate con leche relleno de oreo tableta 300 gr,2.89,0.3,kg
