,Unnamed: 0,producto,precio,cantidad,medida,cantidad_,categoria,supermercado
0,1,Aceite de oliva virgen extra Carrefour 1 l.,3.95,1.0,L,1.0,aceite de oliva virgen extra,carrefour
1,2,Sal marina fina Carrefour 1 kg.,0.22,1.0,kg,1.0,sal fina,carrefour
2,3,Yogur de fresa. de macedonia. de limon y de fresa-platano Carrefour pack de 16 unidades de 125 g.,1.8,2.0,kg,2.0,yogures de sabores,carrefour
3,4,Aceite de oliva suave 0.4ÃÂº Carrefour 1 l.,3.2,1.0,L,1.0,aceite de oliva,carrefour
4,7,Aceitunas verdes rellenas de anchoa Carrefour pack de 3 unidades de 150 g.,1.99,0.45,kg,0.45,aceitunas,carrefour
5,9,Arroz largo categoria primera Carrefour 1 kg.,0.86,1.0,kg,1.0,arroz,carrefour
6,10,Mantequilla pastilla sin sal Carrefour 250 g.,1.15,0.25,kg,0.25,sal,carrefour
7,12,Aceite de girasol Carrefour garrafa 5 l.,6.95,5.0,L,5.0,aceite de girasol,carrefour
8,14,Garbanzo cocido categoria extra Luengo 400 g.,0.95,0.401,kg,0.401,garbanzo,carrefour
9,15,Alubias cocidas categoria extra Carrefour 400 g.,0.6,0.4,kg,0.4,alubias,carrefour
10,17,Tomate triturado Carrefour 780 g.,0.69,0.784,kg,0.784,tomate,carrefour
11,18,Tomate frito Orlando sin gluten pack de 3 briks de 350 g.,2.05,1.051,kg,1.051,tomate frito,carrefour
12,21,Aceitunas negras Cacerenas sin hueso Carrefour 150 g.,0.78,0.15,kg,0.15,aceitunas negras,carrefour
13,22,Leche semidesnatada Central Lechera Asturiana sin lactosa brik 1 l.,0.97,1.0,L,1.0,leche semidesnatada,carrefour
14,23,Leche entera Pascual brik 1 l.,0.94,1.0,L,1.0,leche entera,carrefour
15,24,Patatas fritas gourmet sabor original Lay's 180 g.,2.28,0.18,kg,0.18,patatas fritas apetiritivo,carrefour
16,25,Guacamole Carrefour 200 g,1.49,0.2,kg,0.2,guacamole,carrefour
17,27,Fideo cabellin Carrefour 1 kg.,1.14,1.0,kg,1.0,fideos,carrefour
18,28,Galletas con cereales. vitaminas y calcio Tosta Rica Cuetara 860 g.,2.95,0.86,kg,0.86,cereales,carrefour
19,29,Aceite de oliva suave 0.4ÃÂº Carrefour garrafon 5 l.,15.5,5.0,L,5.0,aceite de oliva,carrefour
20,34,Sal marina yodada fina Carrefour 1 kg.,0.22,1.0,kg,1.0,sal fina,carrefour
21,38,Leche semidesnatada Central Lechera Asturiana botella 2.2 l.,1.65,2.2,L,2.2,leche semidesnatada,carrefour
22,39,Atun en aceite de girasol pack de 6 latas de 52 g.,2.99,0.312,kg,0.312,lata atun al aceite,carrefour
23,40,Lentejas cocidas Carrefour 400 g.,0.7,0.4,kg,0.4,lentejas,carrefour
24,42,Mayonesa Hellmann's sin gluten tarro 650 ml.,2.67,0.65,L,0.65,mayonesa,carrefour
25,44,Vinagre de vino blanco Carrefour 1 l.,0.47,1.0,L,1.0,vinagre de vino blanco,carrefour
26,46,Tallarines Carrefour 1 kg.,1.09,1.0,kg,1.0,espaguetis,carrefour
27,48,Patatas fritas gourmet sabor original Lay's 180 g.,2.28,0.18,kg,0.18,patatas fritas apetiritivo,carrefour
28,49,Guacamole Carrefour 200 g,1.49,0.2,kg,0.2,guacamole,carrefour
29,51,Aceite de oliva virgen extra Carrefour garrafa 5 l.,18.3,5.0,L,5.0,aceite de oliva virgen extra,carrefour
30,53,Pistacho tostado Carrefour bolsa de 300 g,3.99,0.3,kg,0.3,pistachos,carrefour
31,54,Champinones laminados Carrefour 230 g.,0.99,0.23,kg,0.23,pinones,carrefour
32,55,Leche entera Central Lechera Asturiana botella 2.2 l.,1.65,2.2,L,2.2,leche entera,carrefour
33,57,Leche semidesnatada Central Lechera Asturiana botella 1.5 l.,1.25,1.506,L,1.506,leche semidesnatada,carrefour
34,61,Leche entera ecologica Carrefour Bio brik 1 l.,0.99,1.0,L,1.0,leche entera,carrefour
35,63,Pelotazos sabor queso Cheetos sin gluten 130 g.,1.29,0.13,kg,0.13,cheetos,carrefour
36,64,Leche semidesnatada Pascual brik 1 l.,0.94,1.0,L,1.0,leche semidesnatada,carrefour
37,66,Yogur griego natural Danone Oikos sin gluten pack de 4 unidades de 110 g.,2.19,0.44,kg,0.44,yogur griego,carrefour
38,67,Patatas fritas onduladas sabor Ruffles 295 g.,2.7,0.295,kg,0.295,patatas fritas apetiritivo,carrefour
39,69,Fideo cabellin Carrefour 500 g.,0.6,0.5,kg,0.5,fideos,carrefour
40,71,Patatas fritas churreria en aceite de girasol Carrefour pack de 2 bolsas de 150 g.,1.29,0.3,kg,0.3,patatas fritas apetiritivo,carrefour
41,72,Turron de chocolate con leche crujiente Carrefour sin gluten 250 g.,1.05,0.25,kg,0.25,turron,carrefour
42,73,Yogur griego natural azucarado Carrefour Extra pack de 6 unidades de 125 g.,1.05,0.75,kg,0.75,yogur griego,carrefour
43,74,Yogur natural Danone pack de 8 unidades de 120 g.,2.14,1.0,kg,1.0,yogur natural,carrefour
44,75,Patatas fritas gourmet sabor original Lay's 180 g.,2.28,0.18,kg,0.18,patatas fritas apetiritivo,carrefour
45,76,Guacamole Carrefour 200 g,1.49,0.2,kg,0.2,guacamole,carrefour
46,79,Champinones laminados Carrefour pack de 3 unidades de 115 g.,1.89,0.345,kg,0.345,pinones,carrefour
47,81,Arroz redondo Sos 2 kg.,2.95,2.007,kg,2.007,arroz,carrefour
