,precio,precio_rel,producto,link,Q,precio_medida,medida,Q_medida
0,3.35,1.67 /l,Caldo casero de pollo Gallina Blanca sin gluten pack de 2 briks de 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24, 2 briks de 1 l.,1.67,l,2.006
1,3.95,3.95 /l,Aceite de oliva virgen extra Carrefour 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24, 1 l.,3.95,l,1.0
2,0.22,0.22 /kg,Sal marina fina Carrefour 1 kg.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24, 1 kg.,0.22,kg,1.0
3,1.8,0.90 /kg,Yogur de fresa. de macedonia. de limon y de fresa-platano Carrefour pack de 16 unidades de 125 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24, 16 unidades de 125 g.,0.9,kg,2.0
4,3.2,3.20 /l,Aceite de oliva suave 0.4º Carrefour 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24, 1 l.,3.2,l,1.0
5,1.05,1.31 /kg,Galletas Maria dorada Carrefour sin aceite de palma 800 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24, 800 g.,1.31,kg,0.802
6,1.99,3.98 /docena,Huevos M-L ecologicos Carrefour Bio 6 ud.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24, 6 ud.,3.98,docena,0.5
7,1.99,4.42 /kg,Aceitunas verdes rellenas de anchoa Carrefour pack de 3 unidades de 150 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24, 3 unidades de 150 g.,4.42,kg,0.45
8,1.65,1.65 /docena,Huevos L morenos Carreofur 12 ud.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24, 12 ud.,1.65,docena,1.0
9,0.86,0.86 /kg,Arroz largo categoria primera Carrefour 1 kg.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24, 1 kg.,0.86,kg,1.0
10,1.15,4.60 /kg,Mantequilla pastilla sin sal Carrefour 250 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24, 250 g.,4.6,kg,0.25
11,1.67,2.47 /kg,Espaguetis nº 3 Gallo 675 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24, 3 Gallo 675 g.,2.47,kg,0.676
12,6.95,1.39 /l,Aceite de girasol Carrefour garrafa 5 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24, 5 l.,1.39,l,5.0
13,1.99,4.84 /kg,Galletas Dinosaurus Artiach 411 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24, 411 g.,4.84,kg,0.411
14,0.95,2.37 /kg,Garbanzo cocido categoria extra Luengo 400 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24, 400 g.,2.37,kg,0.401
15,0.6,1.50 /kg,Alubias cocidas categoria extra Carrefour 400 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24, 400 g.,1.5,kg,0.4
16,1.6,5 /kg,Tortillas de trigo para fajitas Mexifoods 8 ud.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24, 8 ud.,5.0,kg,0.32
17,0.69,0.88 /kg,Tomate triturado Carrefour 780 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24, 780 g.,0.88,kg,0.784
18,2.05,1.95 /kg,Tomate frito Orlando sin gluten pack de 3 briks de 350 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24, 3 briks de 350 g.,1.95,kg,1.051
19,0.77,0.77 /l,Leche desnatada Carrefour sin lactosa brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24, 1 l.,0.77,l,1.0
20,0.72,0.72 /l,Caldo de pollo Carrefour sin gluten brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24, 1 l.,0.72,l,1.0
21,0.78,5.20 /kg,Aceitunas negras Cacerenas sin hueso Carrefour 150 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24, 150 g.,5.2,kg,0.15
22,0.97,0.97 /l,Leche semidesnatada Central Lechera Asturiana sin lactosa brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24, 1 l.,0.97,l,1.0
23,0.94,0.94 /l,Leche entera Pascual brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24, 1 l.,0.94,l,1.0
24,2.28,12.67 /kg,Patatas fritas gourmet sabor original Lay's 180 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24, 180 g.,12.67,kg,0.18
25,1.49,7.45 /kg,Guacamole Carrefour 200 g,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24, 200 g,7.45,kg,0.2
26,1.99,3.98 /docena,Huevos M-L ecologicos Carrefour Bio 6 ud.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24, 6 ud.,3.98,docena,0.5
27,1.14,1.14 /kg,Fideo cabellin Carrefour 1 kg.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=48, 1 kg.,1.14,kg,1.0
28,2.95,3.43 /kg,Galletas con cereales. vitaminas y calcio Tosta Rica Cuetara 860 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=48, 860 g.,3.43,kg,0.86
29,15.5,3.10 /l,Aceite de oliva suave 0.4º Carrefour garrafon 5 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=48, 5 l.,3.1,l,5.0
30,0.7,1.40 /kg,Copos de avena Carrefour 500 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=48, 500 g.,1.4,kg,0.5
31,0.7,1.40 /kg,Tiburon Carrefour 500 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=48, 500 g.,1.4,kg,0.5
32,3.49,3.49 /kg,Lenteja pardina categoria extra Luengo 1 kg.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=48, 1 kg.,3.49,kg,1.0
33,1.3,1.30 /kg,Espirales tricolor Carrefour 1 kg.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=48, 1 kg.,1.3,kg,1.0
34,0.22,0.22 /kg,Sal marina yodada fina Carrefour 1 kg.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=48, 1 kg.,0.22,kg,1.0
35,0.34,6.80 /kg,Levadura fresca Levanova sin gluten pack de 2 sobres de 25 g. ,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=48, 2 sobres de 25 g. ,6.8,kg,0.05
36,0.65,1.30 /kg,Espaguetis Carrefour 500 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=48, 500 g.,1.3,kg,0.5
37,5.91,1.48 /l,Caldo casero de pollo Gallina Blanca sin gluten pack de 4 briks de 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=48, 4 briks de 1 l.,1.48,l,3.993
38,1.65,0.75 /l,Leche semidesnatada Central Lechera Asturiana botella 2.2 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=48,,0.75,l,2.2
39,2.99,9.58 /kg,Atun en aceite de girasol pack de 6 latas de 52 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=48, 6 latas de 52 g.,9.58,kg,0.312
40,0.7,1.75 /kg,Lentejas cocidas Carrefour 400 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=48, 400 g.,1.75,kg,0.4
41,0.67,1.34 /kg,Natillas de vainilla Carrefour Classic' pack de 4 unidades de 125 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=48, 4 unidades de 125 g.,1.34,kg,0.5
42,2.67,4.11 /l,Mayonesa Hellmann's sin gluten tarro 650 ml.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=48, 650 ml.,4.11,l,0.65
43,0.69,1.50 /kg,Copa de chocolate con nata Carrefour pack de 4 unidades de 115 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=48, 4 unidades de 115 g.,1.5,kg,0.46
44,0.47,0.47 /l,Vinagre de vino blanco Carrefour 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=48, 1 l.,0.47,l,1.0
45,2.59,12.95 /kg,Nueces sin cascara Carrefour 200 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=48, 200 g.,12.95,kg,0.2
46,1.09,1.09 /kg,Tallarines Carrefour 1 kg.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=48, 1 kg.,1.09,kg,1.0
47,2.45,4.45 /kg,Galletas Choco Flakes Cuetara 550 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=48, 550 g.,4.45,kg,0.551
48,2.28,12.67 /kg,Patatas fritas gourmet sabor original Lay's 180 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=48, 180 g.,12.67,kg,0.18
49,1.49,7.45 /kg,Guacamole Carrefour 200 g,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=48, 200 g,7.45,kg,0.2
50,1.99,3.98 /docena,Huevos M-L ecologicos Carrefour Bio 6 ud.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=48, 6 ud.,3.98,docena,0.5
51,18.3,3.66 /l,Aceite de oliva virgen extra Carrefour garrafa 5 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72, 5 l.,3.66,l,5.0
52,1.67,2.47 /kg,Plumas nº 6 Gallo 675 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72, 6 Gallo 675 g.,2.47,kg,0.676
53,3.99,13.30 /kg,Pistacho tostado Carrefour bolsa de 300 g,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72, 300 g,13.3,kg,0.3
54,0.99,4.30 /kg,Champinones laminados Carrefour 230 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72, 230 g.,4.3,kg,0.23
