,Unnamed: 0,producto_,precio_,precio_rel,link,oferta,Q,precio_medida,medida,precio_medida1,precio_medida2,Q_medida
0,0,DIA EL CENCERRO queso semicurado cortado cuna 250 gr,2.69,10.76/Kg.,https://www.dia.es/compra-online/frescos/cf?page=17&disp=,1, 250 gr,10.76,Kg.,10.76,10.76,0.25
1,1,DIA EL CENCERRO queso semicurado cuna 300 gr,2.35,7.83/Kg.,https://www.dia.es/compra-online/frescos/cf?page=17&disp=,1, 300 gr,7.83,Kg.,7.83,7.83,0.3
2,2,MILKA chocolate con galleta tableta 300 gr,2.89,9.63/Kg.,https://www.dia.es/compra-online/despensa/cf?page=4&disp=,1, 300 gr,9.63,Kg.,9.63,9.63,0.3
3,3,MILKA chocolate con leche tableta 270 gr,1.99,7.37/Kg.,https://www.dia.es/compra-online/despensa/cf?page=15&disp=,1, 270 gr,7.37,Kg.,7.37,7.37,0.27
4,4,DANONE DANET natillas vainilla pack 4 unidades 120 gr,2.15,4.48/Kg.,https://www.dia.es/compra-online/despensa/cf?page=21&disp=,1, 4 unidades 120 gr,4.48,Kg.,4.48,4.48,0.48
5,5,DANONE DANET natillas de chocolate pack 4 unidades 120 gr,2.15,4.48/Kg.,https://www.dia.es/compra-online/despensa/cf?page=21&disp=,1, 4 unidades 120 gr,4.48,Kg.,4.48,4.48,0.48
6,6,MILKA chocolate relleno de caramelo y avellanas tableta 300 gr,2.99,9.97/Kg.,https://www.dia.es/compra-online/despensa/cf?page=24&disp=,1, 300 gr,9.97,Kg.,9.97,9.97,0.3
7,7,DANONE copa chocolate 2 unidades x 110 gr,1.45,6.59/Kg.,https://www.dia.es/compra-online/despensa/cf?page=39&disp=,1, 2 unidades x 110 gr,6.59,Kg.,6.59,6.59,0.22
8,8,DANONE OIKOS yogur griego natural pack 4 unidades 110 gr,2.25,5.11/Kg.,https://www.dia.es/compra-online/despensa/cf?page=39&disp=,1, 4 unidades 110 gr,5.11,Kg.,5.11,5.11,0.44
9,9,DANONE OIKOS yogur griego natural azucarado pack 4 unidades 110 gr,2.25,5.11/Kg.,https://www.dia.es/compra-online/despensa/cf?page=39&disp=,1, 4 unidades 110 gr,5.11,Kg.,5.11,5.11,0.44
10,10,DANONE flan de vainilla pack 4 unidades 100 g,1.65,4.13/Kg.,https://www.dia.es/compra-online/despensa/cf?page=43&disp=,1, 4 unidades 100 g,4.13,Kg.,4.13,4.13,0.4
11,11,FERRERO rocher bombones caja 375 gr ,8.99,23.97/Kg.,https://www.dia.es/compra-online/despensa/cf?page=44&disp=,1, 375 gr ,23.97,Kg.,23.97,23.97,0.375
12,12,MILKA chocolate con avellanas tableta 270 gr,3.09,11.44/Kg.,https://www.dia.es/compra-online/despensa/cf?page=46&disp=,1, 270 gr,11.44,Kg.,11.44,11.44,0.27
13,13,OREO galletas banadas en chocolate blanco caja 6 uds 246 gr ,2.39,9.72/Kg.,https://www.dia.es/compra-online/despensa/cf?page=46&disp=,1, 6 uds 246 gr ,9.72,Kg.,9.72,9.72,0.246
14,14,RAFFAELLO bombones caja 150 gr,3.59,23.93/Kg.,https://www.dia.es/compra-online/despensa/cf?page=46&disp=,1, 150 gr,23.93,Kg.,23.93,23.93,0.15
