,producto,precio,cantidad,medida
0,Aceite de oliva 0.4º Hacendado,15.5,5.0,L
1,Aceite de oliva 0.4º Hacendado,3.2,1.0,L
2,Aceite de oliva virgen extra Hacendado,11.0,3.0,L
3,Aceite de oliva virgen extra Hacendado,3.95,1.0,L
4,Aceite de oliva virgen extra Hacendado Gran Seleccion,4.1,0.75,L
5,Aceite de oliva 1º Hacendado,15.5,5.0,L
6,Aceite de oliva 1º Hacendado,3.2,1.0,L
7,Aceite de oliva virgen Hacendado,10.0,3.0,L
8,Aceite de oliva virgen Hacendado,3.5,1.0,L
9,Aceite de oliva virgen extra Hacendado,2.0,0.2,L
10,Aceite de oliva virgen extra Picual Casa Juncal,3.95,0.5,L
11,Aceite de girasol refinado 0.2º Hacendado,6.95,5.0,L
12,Aceite de girasol refinado 0.2º Hacendado,1.45,1.0,L
13,Aceite de aguacate Ethnos,5.0,0.25,L
14,Aceite de coco virgen Hacendado,4.5,0.45,L
15,Vinagre de vino blanco Hacendado,0.47,1.0,L
16,Vinagre balsamico de Modena Hacendado,1.15,0.25,L
17,Vinagre de manzana Hacendado,0.62,1.0,L
18,Limon exprimido Hacendado,0.88,0.28,L
19,Crema de vinagre balsamico de Modena Hacendado,1.6,0.25,kg
20,Vinagre de Jerez reserva Hacendado,1.2,0.25,L
21,Bebida aromatizada a base de vino para cocinar Abuela Carola,1.9,0.75,L
22,Vinagre de vino tinto Hacendado,0.57,1.0,L
23,Reduccion de vinagre Pedro Ximenez Hacendado,2.0,0.3,kg
24,Aceite de oliva. vinagre y sal Merry,1.35,0.15,L
25,Crema de vinagre balsamico de manzana Hacendado,2.15,0.25,kg
26,Sal fina Hacendado,0.22,1.0,kg
27,Sal fina de mesa Hacendado,0.38,0.25,kg
28,Sal yodada fina Hacendado,0.22,1.0,kg
29,Sal gruesa Hacendado,0.2,1.0,kg
30,Bicarbonato sodico Hacendado,1.19,1.0,kg
31,Bicarbonato sodico Hacendado,0.45,0.3,kg
32,Sal marina en escamas Polasal,1.85,0.125,kg
33,Sal gruesa para hornear Hacendado,0.71,2.0,kg
34,Sal de ajo Hacendado,1.0,0.13,kg
35,Sal de frutas sabor limon Hacendado,1.59,0.25,kg
36,Sal 60% menos de sodio Hacendado,1.2,0.25,kg
37,Molinillo sal marina con hierbas Hacendado,1.6,0.11,kg
38,Preparado para salmon ahumado Hacendado,2.0,0.75,kg
39,Sal rosa del Himalaya Hacendado,1.7,0.25,kg
40,Oregano Hacendado,0.56,0.018,kg
41,Perejil Hacendado,0.55,0.014,kg
42,Hoja de laurel Hacendado,0.66,0.012,kg
43,Hierbas provenzales Hacendado,0.7,0.025,kg
44,Albahaca Hacendado,0.65,0.02,kg
45,Romero Hacendado,0.8,0.04,kg
46,Tomillo Hacendado,0.69,0.028,kg
47,Eneldo hojas Hacendado,1.05,0.022,kg
48,Cilantro Hacendado,1.15,0.012,kg
49,Colorante alimentario Hacendado,0.59,0.085,kg
50,Colorante alimentario Hacendado,1.0,0.875,kg
51,Pimenton dulce Hacendado,0.55,0.056,kg
52,Pimenton dulce Hacendado,0.9,0.075,kg
53,Pimenton dulce de la Vera Hacendado,1.38,0.075,kg
54,Azafran molido Hacendado,1.55,0.0016,kg
55,Azafran hebra Hacendado,1.5,0.0011400000000000002,kg
56,Pimenton picante Hacendado,0.75,0.06,kg
57,Pimenton picante de la Vera Hacendado,1.45,0.075,kg
58,Pimienta negra molida Hacendado,0.69,0.07,kg
59,Molinillo pimienta negra Hacendado,1.32,0.065,kg
60,Pimienta negra en grano Hacendado,0.75,0.07,kg
61,Molinillo mix pimientas Hacendado,1.4,0.05,kg
62,Pimienta blanca molida Hacendado,1.05,0.07,kg
63,Pimienta verde en grano Hacendado,1.68,0.1,kg
64,Ajo granulado Hacendado,0.67,0.085,kg
65,Pinones ibericos Hacendado,4.55,0.05,kg
66,Cebolla frita crujiente Hacendado,0.85,0.15,kg
67,Canela molida Hacendado,0.51,0.052,kg
68,Canela en rama Hacendado,1.2,0.018,kg
69,Comino molido Hacendado,0.63,0.058,kg
70,Comino en grano Hacendado,0.8,0.056,kg
71,Curry Hacendado,0.62,0.057,kg
72,Nuez moscada molida Hacendado,1.1,0.058,kg
73,Cebolla en polvo Hacendado,0.95,0.06,kg
74,Cayena guindillas Hacendado,0.95,0.027,kg
75,Cayena molida Hacendado,1.15,0.055,kg
76,Curcuma Hacendado,1.15,0.06,kg
77,Jengibre molido Hacendado,1.1,0.049,kg
78,Sal de ajo Hacendado,1.0,0.13,kg
79,Ãoras Hacendado,0.96,0.025,kg
80,Clavo en grano Hacendado,1.1,0.042,kg
81,Vainilla en rama Hacendado,2.5,2.0,ud
82,Trufas,3.5,0.15,kg
83,Anis en grano Hacendado,0.9,0.05,kg
84,Pimientos choriceros dulces del cristal Hacendado,1.6,0.05,kg
85,Sazonador para fajitas Hacendado sabor tex-mex,0.79,0.03,kg
86,Sazonador al horno y microondas pollo al ajo y limon Hacendado,0.95,0.12,kg
87,Sazonador al horno y microondas pollo y costillas a las hierbas provenzales Hacendado,0.95,0.096,kg
88,Sazonador sabor barbacoa Hacendado,0.95,0.096,kg
89,Preparado para paella con azafran Hacendado,1.65,0.076,kg
90,Sazonador para paella con azafran Hacendado,1.3,0.1,kg
91,Sazonador para burritos Hacendado,0.79,0.04,kg
92,Sazonador pollo asado Hacendado,1.05,0.092,kg
93,Sazonador espagueti Hacendado,1.4,0.045,kg
94,Molinillo sal marina con hierbas Hacendado,1.6,0.11,kg
95,Sazonador ensalada Hacendado,1.55,0.095,kg
96,Sazonador barbacoa Hacendado,1.4,0.098,kg
97,Sazonador al horno y microondas pescado a las finas hierbas Hacendado,0.95,0.056,kg
98,Sazonador pescado Hacendado,1.4,0.095,kg
99,Mayonesa Hacendado,1.0,0.5,L
100,Mayonesa Hacendado,0.7,0.225,L
101,Mayonesa Hacendado,1.1,0.46,L
102,Mayonesa en sobres individuales Hacendado,1.0,0.24,L
103,Mayonesa Hellmann's,1.99,0.475,L
104,Mayonesa Hellmann's,1.25,0.225,L
105,Salsa ligera Ligeresa,1.99,0.475,L
106,Salsa ligera Ligeresa,1.0,0.225,L
107,Salsa ligera Ligeresa,1.7,0.43,L
108,Mayonesa Ybarra,1.6,0.5,L
