,producto,precio,cantidad,medida,cantidad_
0,Caldo casero de pollo Gallina Blanca sin gluten pack de 2 briks de 1 l.,3.35,2.006,L,2.006
1,Aceite de oliva virgen extra Carrefour 1 l.,3.95,1.0,L,1.0
2,Sal marina fina Carrefour 1 kg.,0.22,1.0,kg,1.0
3,Yogur de fresa. de macedonia. de limon y de fresa-platano Carrefour pack de 16 unidades de 125 g.,1.8,2.0,kg,2.0
4,Aceite de oliva suave 0.4Âº Carrefour 1 l.,3.2,1.0,L,1.0
5,Galletas Maria dorada Carrefour sin aceite de palma 800 g.,1.05,0.802,kg,0.802
6,Huevos M-L ecologicos Carrefour Bio 6 ud.,1.99,0.5,ud,0.5
7,Aceitunas verdes rellenas de anchoa Carrefour pack de 3 unidades de 150 g.,1.99,0.45,kg,0.45
8,Huevos L morenos Carreofur 12 ud.,1.65,1.0,ud,1.0
9,Arroz largo categoria primera Carrefour 1 kg.,0.86,1.0,kg,1.0
10,Mantequilla pastilla sin sal Carrefour 250 g.,1.15,0.25,kg,0.25
11,Espaguetis nÂº 3 Gallo 675 g.,1.67,0.676,kg,0.676
12,Aceite de girasol Carrefour garrafa 5 l.,6.95,5.0,L,5.0
13,Galletas Dinosaurus Artiach 411 g.,1.99,0.411,kg,0.411
14,Garbanzo cocido categoria extra Luengo 400 g.,0.95,0.401,kg,0.401
15,Alubias cocidas categoria extra Carrefour 400 g.,0.6,0.4,kg,0.4
16,Tortillas de trigo para fajitas Mexifoods 8 ud.,1.6,0.32,kg,0.32
17,Tomate triturado Carrefour 780 g.,0.69,0.784,kg,0.784
18,Tomate frito Orlando sin gluten pack de 3 briks de 350 g.,2.05,1.051,kg,1.051
19,Leche desnatada Carrefour sin lactosa brik 1 l.,0.77,1.0,L,1.0
20,Caldo de pollo Carrefour sin gluten brik 1 l.,0.72,1.0,L,1.0
21,Aceitunas negras Cacerenas sin hueso Carrefour 150 g.,0.78,0.15,kg,0.15
22,Leche semidesnatada Central Lechera Asturiana sin lactosa brik 1 l.,0.97,1.0,L,1.0
23,Leche entera Pascual brik 1 l.,0.94,1.0,L,1.0
24,Patatas fritas gourmet sabor original Lay's 180 g.,2.28,0.18,kg,0.18
25,Guacamole Carrefour 200 g,1.49,0.2,kg,0.2
26,Huevos M-L ecologicos Carrefour Bio 6 ud.,1.99,0.5,ud,0.5
27,Fideo cabellin Carrefour 1 kg.,1.14,1.0,kg,1.0
28,Galletas con cereales. vitaminas y calcio Tosta Rica Cuetara 860 g.,2.95,0.86,kg,0.86
29,Aceite de oliva suave 0.4Âº Carrefour garrafon 5 l.,15.5,5.0,L,5.0
30,Copos de avena Carrefour 500 g.,0.7,0.5,kg,0.5
31,Tiburon Carrefour 500 g.,0.7,0.5,kg,0.5
32,Lenteja pardina categoria extra Luengo 1 kg.,3.49,1.0,kg,1.0
33,Espirales tricolor Carrefour 1 kg.,1.3,1.0,kg,1.0
34,Sal marina yodada fina Carrefour 1 kg.,0.22,1.0,kg,1.0
35,Levadura fresca Levanova sin gluten pack de 2 sobres de 25 g. ,0.34,0.05,kg,0.05
36,Espaguetis Carrefour 500 g.,0.65,0.5,kg,0.5
37,Caldo casero de pollo Gallina Blanca sin gluten pack de 4 briks de 1 l.,5.91,3.993,L,3.993
38,Leche semidesnatada Central Lechera Asturiana botella 2.2 l.,1.65,2.2,L,2.2
39,Atun en aceite de girasol pack de 6 latas de 52 g.,2.99,0.312,kg,0.312
40,Lentejas cocidas Carrefour 400 g.,0.7,0.4,kg,0.4
41,Natillas de vainilla Carrefour Classic' pack de 4 unidades de 125 g.,0.67,0.5,kg,0.5
42,Mayonesa Hellmann's sin gluten tarro 650 ml.,2.67,0.65,L,0.65
43,Copa de chocolate con nata Carrefour pack de 4 unidades de 115 g.,0.69,0.46,kg,0.46
44,Vinagre de vino blanco Carrefour 1 l.,0.47,1.0,L,1.0
45,Nueces sin cascara Carrefour 200 g.,2.59,0.2,kg,0.2
46,Tallarines Carrefour 1 kg.,1.09,1.0,kg,1.0
47,Galletas Choco Flakes Cuetara 550 g.,2.45,0.551,kg,0.551
48,Patatas fritas gourmet sabor original Lay's 180 g.,2.28,0.18,kg,0.18
49,Guacamole Carrefour 200 g,1.49,0.2,kg,0.2
50,Huevos M-L ecologicos Carrefour Bio 6 ud.,1.99,0.5,ud,0.5
51,Aceite de oliva virgen extra Carrefour garrafa 5 l.,18.3,5.0,L,5.0
52,Plumas nÂº 6 Gallo 675 g.,1.67,0.676,kg,0.676
53,Pistacho tostado Carrefour bolsa de 300 g,3.99,0.3,kg,0.3
54,Champinones laminados Carrefour 230 g.,0.99,0.23,kg,0.23
55,Leche entera Central Lechera Asturiana botella 2.2 l.,1.65,2.2,L,2.2
56,Galletas rellenas de crema de chocolate Mega Carrefour Classic 500 g.,0.9,0.5,kg,0.5
57,Leche semidesnatada Central Lechera Asturiana botella 1.5 l.,1.25,1.506,L,1.506
58,Harina de trigo Gallo 1 kg.,1.14,1.0,kg,1.0
59,Mejillones en escabeche Calvo 69 g.,1.67,0.069,kg,0.069
60,Batido de cacao Carrefour sin gluten pack de 6 briks de 200 ml.,0.99,1.193,L,1.193
61,Leche entera ecologica Carrefour Bio brik 1 l.,0.99,1.0,L,1.0
62,Huevos L camperos Calidad y Origen Carrefour 6 ud,1.59,0.5,ud,0.5
63,Pelotazos sabor queso Cheetos sin gluten 130 g.,1.29,0.13,kg,0.13
64,Leche semidesnatada Pascual brik 1 l.,0.94,1.0,L,1.0
65,Hummus receta clasica Carrefour sin gluten 240 g.,1.1,0.24,kg,0.24
66,Yogur griego natural Danone Oikos sin gluten pack de 4 unidades de 110 g.,2.19,0.44,kg,0.44
67,Patatas fritas onduladas sabor Ruffles 295 g.,2.7,0.295,kg,0.295
68,Leche desnatada 0% MG Pascual brik 1 l.,0.94,1.0,L,1.0
69,Fideo cabellin Carrefour 500 g.,0.6,0.5,kg,0.5
70,Yogur liquido de fresa Carrefour Classic' pack de 12 unidades de 100 g.,1.74,1.2,kg,1.2
71,Patatas fritas churreria en aceite de girasol Carrefour pack de 2 bolsas de 150 g.,1.29,0.3,kg,0.3
72,Turron de chocolate con leche crujiente Carrefour sin gluten 250 g.,1.05,0.25,kg,0.25
73,Yogur griego natural azucarado Carrefour Extra pack de 6 unidades de 125 g.,1.05,0.75,kg,0.75
74,Yogur natural Danone pack de 8 unidades de 120 g.,2.14,1.0,kg,1.0
75,Patatas fritas gourmet sabor original Lay's 180 g.,2.28,0.18,kg,0.18
76,Guacamole Carrefour 200 g,1.49,0.2,kg,0.2
77,Huevos M-L ecologicos Carrefour Bio 6 ud.,1.99,0.5,ud,0.5
78,Bebida de avena calcio sin azucar anadido Carrefour brik 1 l.,1.0,1.0,L,1.0
79,Champinones laminados Carrefour pack de 3 unidades de 115 g.,1.89,0.345,kg,0.345
80,Chocolate con leche extrafino Nestle sin gluten pack de 3 tabletas de 125 g.,2.65,0.375,kg,0.375
81,Arroz redondo Sos 2 kg.,2.95,2.007,kg,2.007
82,Arroz basmati para microondas Brillante pack de 2 ud. de 125 g.,1.16,0.25,kg,0.25
83,Maiz tierno dulce Bonduelle pack de 3 unidades de 140 g.,2.69,0.42,kg,0.42
84,Huevos XL Carrefour 12 ud.,2.17,1.0,ud,1.0
85,Galletas recubiertas de chocolate con leche Digestive Carrefour 300 g.,0.89,0.3,kg,0.3
86,Aceite de oliva suave 0.4Âº La Espanola 1 l.,4.89,1.0,L,1.0
87,Yogur griego de fresa Carrefour Extra sin gluten pack de 6 unidades de 125 g.,1.3,0.751,kg,0.751
88,Bebida de avena sin azucar anadido YoSoy brik 1 l.,1.47,1.0,L,1.0
89,Leche semidesnatada ecologica Carrefour Bio brik 1 l.,0.99,1.0,L,1.0
90,Esparrago blanco Carrefour 205 g.,1.35,0.205,kg,0.205
