,producto,precio,cantidad,medida,cantidad_
0,DIA DULCE NOEL turron suprema Jijona estuche 150 gr,1.89,0.15,kg,0.15
1,DIA DULCE NOEL turron de yema tostada suprema estuche 150 gr,1.49,0.15,kg,0.15
2,DIA DULCE NOEL turron imperiaL de cacahuete estuche 150 gr,0.99,0.15,kg,0.15
3,DIA DULCE NOEL turron de crema de cacahuete estuche 150 gr,0.99,0.15,kg,0.15
4,DIA DULCE NOEL aLmendra reLLena surtido 10 gr,0.13,0.01,kg,0.01
5,DIA DULCE NOEL turron de tres chocoLates estuche 150 gr,1.49,0.15,kg,0.15
6,DIA DULCE NOEL turron de chocoLate bLanco crujiente estuche 200 gr,1.49,0.2,kg,0.2
7,DIA DULCE NOEL turron chocoLate con Leche crujiente cLasico estuche 200 gr,0.99,0.2,kg,0.2
8,DIA DULCE NOEL turron de praLine de trufa suprema estuche 150 gr,1.59,0.15,kg,0.15
9,DIA DULCE NOEL turron de coco extra estuche 150 gr,0.99,0.15,kg,0.15
10,DIA DULCE NOEL turron de chocoLate con cacahuetes con mieL estuche 150 gr,0.99,0.15,kg,0.15
11,DIA DULCE NOEL turron crujiente con gaLLetas estuche 200 gr,1.49,0.2,kg,0.2
12,DIA DULCE NOEL mazapan de soto/ empanada de yema surtido 26 gr,0.34,0.026,kg,0.026
13,DIA DULCE NOEL turron praLine de ron con pasas estuche 150 gr,1.69,0.15,kg,0.15
14,DIA DULCE NOEL rosco de vino surtido 32 gr,0.13,0.033,kg,0.033
15,DIA DULCE NOEL turron cacao aLmendra/crujiente surtido 20 gr,0.26,0.02,kg,0.02
16,DIA DULCE NOEL poLvoron aLmendra surtido 45 gr,0.18,0.046,kg,0.046
17,DIA DULCE NOEL turron de chocoLate con Leche con aLmendras estuche 200 gr,1.79,0.2,kg,0.2
18,DIA DULCE NOEL turron de chocoLate negro crujiente estuche 200 gr,1.49,0.2,kg,0.2
19,DIA DULCE NOEL mantecado de Limon/cacao/caneLa surtido 48 gr,0.19,0.048,kg,0.048
20,DIA DULCE NOEL cortadiLLo cabeLLo surtido 43 gr,0.17,0.043,kg,0.043
21,DIA DULCE NOEL hojaLdrada cLasica surtido 25 gr,0.1,0.025,kg,0.025
22,DIA DULCE NOEL mantecado aceite de oLiva/sesamo surtido 42 gr,0.17,0.043,kg,0.043
23,DIA DULCE NOEL figurita de mazapan surtido 15 gr,0.19,0.015,kg,0.015
24,SUCHARD turron de chocoLate oreo bLanco estuche 260 gr,3.49,0.26,kg,0.26
25,DIA DULCE NOEL turron praLine de crema cataLana estuche 150 gr,1.59,0.15,kg,0.15
26,LACASA turron crujiente de chocoLate estuche 150 gr,1.0,0.15,kg,0.15
27,LACASA turron crujiente chocoLate negro estuche 150 gr,1.0,0.15,kg,0.15
28,DIA DULCE NOEL turron imperiaL de aLmendras sin azucar estuche 150 gr,2.19,0.15,kg,0.15
29,DIA DULCE NOEL turron de crema de aLmendras sin azucar estuche 150 gr,2.19,0.15,kg,0.15
30,DIA DULCE NOEL turron crujiente bLanco con gaLLetas estuche 200 gr,1.49,0.2,kg,0.2
31,DIA DULCE NOEL turron con grajeas de chocoLate estuche 100 gr,0.99,0.1,kg,0.1
32,NESTLE turron jungLy de chocoLate estuche 232 gr,2.99,0.232,kg,0.232
33,IL VECCHIO panettone Lata 750 gr,6.99,0.75,kg,0.75
34,NESTLE chocoLate extrafino Reyes Mayos Lata 60 gr (modeLo aLeatorio),2.69,0.06,kg,0.06
35,NESTLE Lote chocoLate extrafino y peLuche caja 260 gr (modeLo aLeatorio),7.49,0.26,kg,0.26
36,KINDER casita mini mix navidad caja 76 gr (modeLo aLeatorio) ,2.75,0.076,kg,0.076
37,DIA DULCE NOEL poLvorones sin azucar a graneL unidad (35 gr peso aprox.),0.14,0.035,kg,0.035
38,DIA DULCE NOEL aLfajor de aLmendra y aveLLana a graneL unidad (24 gr peso aprox.),0.31,0.024,kg,0.024
39,DIA DULCE NOEL turron con duLce de Leche estuche 150 gr,1.59,0.15,kg,0.15
40,NICKELODEON mix de chocoLate adorno de Navidad 20 gr (modeLo aLeatorio),1.99,0.02,kg,0.02
41,NICKELODEON mix de carameLos arboL de Navidad Lata 80 gr (modeLo aLeatorio) ,3.99,0.08,kg,0.08
42,NICKELODEON mix de carameLos Lata redonda 90 gr (modeLo aLeatorio),4.99,0.08,kg,0.08
43,NICKELODEON mix de carameLos caLcetin de Navidad Lata 80 gr (modeLo aLeatorio),3.99,0.08,kg,0.08
44,DIA DULCE NOEL roscon de nata caja 550 gr,6.99,0.55,kg,0.55
45,EL MOLINO DE DIA mini panettone cLasico boLsa 100 gr,0.99,0.1,kg,0.1
46,MATA hojaLdrinas boLsa 400 gr,3.15,0.4,kg,0.4
47,EL LOBO turron de aLicante estuche 250 gr,3.49,0.2,kg,0.2
48,LACASA turron guirLache de aragon estuche 240 gr,5.49,0.24,kg,0.24
49,DIA DULCE NOEL panettone de chocoLate caja 500 gr,2.99,0.5,kg,0.5
50,LA ESTEPEÃÂA surtido navidad caja 850 gr,7.3,0.85,kg,0.85
51,DIA DULCE NOEL figuritas de mazapan caja 200 gr,1.85,0.2,kg,0.2
52,DIA DULCE NOEL panettone cLasico con frutas caja 500 gr,2.99,0.5,kg,0.5
53,EL LOBO turron de Jijona estuche 250 gr,3.49,0.2,kg,0.2
54,EL LOBO torta turron de aLicante estuche 200 gr,3.19,0.15,kg,0.15
55,EL LOBO turron de yema tostada estuche 200 gr,3.49,0.2,kg,0.2
56,SUCHARD turron de chocoLate estuche 260 gr ,3.49,0.26,kg,0.26
57,SUCHARD turron de chocoLate oreo bLanco estuche 260 gr,3.49,0.26,kg,0.26
