,precio_anterior,precio,precio_rel,producto,link,precio_rel_anterior,precio_rel_1,precio_medida,medida,Q_medida
0,0.82 ,0.79,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24,0.82 /l , 0.79 /l,0.79,l,1.0
1,0.82 ,0.79,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=24,0.82 /l , 0.79 /l,0.79,l,1.0
2,2.05 ,1.93,2.23 /kg | 2.10 /kg,Tomate frito Solis sin gluten y sin lactosa pack 2 tarros de 460 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=48,2.23 /kg , 2.10 /kg,2.1,kg,0.919
3,0.82 ,0.79,0.82 /l | 0.79 /l,Leche desnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=48,0.82 /l , 0.79 /l,0.79,l,1.0
4,2.35 ,2.12,5.34 /kg | 4.82 /kg,Yogur griego con stracciatella Danone Oikos sin gluten pack de 4 unidades de 110 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=48,5.34 /kg , 4.82 /kg,4.82,kg,0.44
5,0.82 ,0.79,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=48,0.82 /l , 0.79 /l,0.79,l,1.0
6,0.82 ,0.79,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=48,0.82 /l , 0.79 /l,0.79,l,1.0
7,0.82 ,0.79,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72,0.82 /l , 0.79 /l,0.79,l,1.0
8,0.82 ,0.79,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72,0.82 /l , 0.79 /l,0.79,l,1.0
9,6.69 ,6.19,3.34 /l | 3.09 /l,Caldo natural de pollo Aneto sin gluten y sin lactosa pack de 2 briks de 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=96,3.34 /l , 3.09 /l,3.09,l,2.003
10,3.24 ,3.19,9.26 /kg | 9.11 /kg,Pizza de jamon y queso fina y crujiente Forno Di Pietra Buitoni 350 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=96,9.26 /kg , 9.11 /kg,9.11,kg,0.35
11,3.37 ,3.25,1.35 /docena | 1.30 /docena,Huevos M Carrefour 30 ud.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=96,1.35 /docena , 1.30 /docena,1.3,docena,2.5
12,0.82 ,0.79,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=96,0.82 /l , 0.79 /l,0.79,l,1.0
13,0.82 ,0.79,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=96,0.82 /l , 0.79 /l,0.79,l,1.0
14,0.82 ,0.79,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=120,0.82 /l , 0.79 /l,0.79,l,1.0
15,0.82 ,0.79,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=120,0.82 /l , 0.79 /l,0.79,l,1.0
16,0.82 ,0.79,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=144,0.82 /l , 0.79 /l,0.79,l,1.0
17,0.82 ,0.79,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=144,0.82 /l , 0.79 /l,0.79,l,1.0
18,1.62 ,1.43,16.20 /kg | 14.30 /kg,Conos de maiz Lay's 3D's 100 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=168,16.20 /kg , 14.30 /kg,14.3,kg,0.1
19,0.82 ,0.79,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=168,0.82 /l , 0.79 /l,0.79,l,1.0
20,0.82 ,0.79,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=168,0.82 /l , 0.79 /l,0.79,l,1.0
21,1.68 ,1.53,3.91 /l | 3.56 /l,Ketchup Hellmann's envase 430 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=192,3.91 /l , 3.56 /l,3.56,l,0.43
22,1.19 ,1.15,5.41 /kg | 5.23 /kg,Copa de chocolate con nata Danone La Copa pack de 2 unidades de 110 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=192,5.41 /kg , 5.23 /kg,5.23,kg,0.22
23,1.73 ,1.6,1.73 /kg | 1.60 /kg,Arroz integral Sos 1 kg.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=192,1.73 /kg , 1.60 /kg,1.6,kg,1.0
24,2.73 ,2.7,4.20 /kg | 4.15 /kg,Mayonesa Ligeresa sin lactosa tarro 650 ml.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=192,4.20 /kg , 4.15 /kg,4.15,kg,0.651
25,0.82 ,0.79,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=192,0.82 /l , 0.79 /l,0.79,l,1.0
26,0.82 ,0.79,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=192,0.82 /l , 0.79 /l,0.79,l,1.0
27,2.89 ,2.85,10.70 /kg | 10.56 /kg,Piccolinis capricciosa Buitoni 270 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=216,10.70 /kg , 10.56 /kg,10.56,kg,0.27
