,Unnamed: 0,producto,precio,precio_rel,link,oferta,Q,precio_medida,medida,Q_medida,precio_medida1,precio_medida2
0,0,DIA DULCE NOEL turron suprema Jijona estuche 150 gr,1.89,12.60/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=1&disp=,0, 150 gr,12.60,Kg,0.15,12.60,12.6
1,1,DIA DULCE NOEL turron de yema tostada suprema estuche 150 gr,1.49,9.93/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=1&disp=,0, 150 gr,9.93,Kg,0.15,9.93,9.93
2,2,DIA DULCE NOEL turron imperial de cacahuete estuche 150 gr,0.99,6.60/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=1&disp=,0, 150 gr,6.60,Kg,0.15,6.60,6.6
3,3,DIA DULCE NOEL turron de crema de cacahuete estuche 150 gr,0.99,6.60/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=1&disp=,0, 150 gr,6.60,Kg,0.15,6.60,6.6
4,4,DIA DULCE NOEL almendra rellena surtido 10 gr,0.13,12.90/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=1&disp=,0, 10 gr,12.90,Kg,0.01,12.90,12.9
5,5,DIA DULCE NOEL turron de tres chocolates estuche 150 gr,1.49,9.93/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=1&disp=,0, 150 gr,9.93,Kg,0.15,9.93,9.93
6,6,DIA DULCE NOEL turron de chocolate blanco crujiente estuche 200 gr,1.49,7.45/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=1&disp=,0, 200 gr,7.45,Kg,0.2,7.45,7.45
7,7,DIA DULCE NOEL turron chocolate con leche crujiente clasico estuche 200 gr,0.99,4.95/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=1&disp=,0, 200 gr,4.95,Kg,0.2,4.95,4.95
8,8,DIA DULCE NOEL turron de praline de trufa suprema estuche 150 gr,1.59,10.60/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=1&disp=,0, 150 gr,10.60,Kg,0.15,10.60,10.6
9,9,DIA DULCE NOEL turron de coco extra estuche 150 gr,0.99,6.60/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=1&disp=,0, 150 gr,6.60,Kg,0.15,6.60,6.6
10,10,DIA DULCE NOEL turron de chocolate con cacahuetes con miel estuche 150 gr,0.99,6.60/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=1&disp=,0, 150 gr,6.60,Kg,0.15,6.60,6.6
11,11,DIA DULCE NOEL turron crujiente con galletas estuche 200 gr,1.49,7.45/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=1&disp=,0, 200 gr,7.45,Kg,0.2,7.45,7.45
12,12,DIA DULCE NOEL mazapan de soto/ empanada de yema surtido 26 gr,0.34,12.90/Kg,https://www.dia.es/compra-online/dulces-de-navidad/cf?page=1&disp=,0, 26 gr,12.90,Kg,0.026,12.90,12.9
