,producto,precio,cantidad,medida
0,Aceite de oliva 0.4º Hacendado,15.5,5.0,L
1,Aceite de oliva 0.4º Hacendado,3.2,1.0,L
2,Aceite de oliva virgen extra Hacendado,11.0,3.0,L
3,Aceite de oliva virgen extra Hacendado,3.95,1.0,L
4,Aceite de oliva virgen extra Hacendado Gran Seleccion,4.1,750.0,ml
5,Aceite de oliva 1º Hacendado,15.5,5.0,L
6,Aceite de oliva 1º Hacendado,3.2,1.0,L
7,Aceite de oliva virgen Hacendado,10.0,3.0,L
8,Aceite de oliva virgen Hacendado,3.5,1.0,L
9,Aceite de oliva virgen extra Hacendado,2.0,200.0,ml
10,Aceite de oliva virgen extra Picual Casa Juncal,3.95,500.0,ml
11,Aceite de girasol refinado 0.2º Hacendado,6.95,5.0,L
12,Aceite de girasol refinado 0.2º Hacendado,1.45,1.0,L
13,Aceite de aguacate Ethnos,5.0,250.0,ml
14,Aceite de coco virgen Hacendado,4.5,450.0,ml
15,Vinagre de vino blanco Hacendado,0.47,1.0,L
16,Vinagre balsamico de Modena Hacendado,1.15,250.0,ml
17,Vinagre de manzana Hacendado,0.62,1.0,L
18,Limon exprimido Hacendado,0.88,280.0,ml
19,Crema de vinagre balsamico de Modena Hacendado,1.6,250.0,g
20,Vinagre de Jerez reserva Hacendado,1.2,250.0,ml
21,Bebida aromatizada a base de vino para cocinar Abuela Carola,1.9,750.0,ml
22,Vinagre de vino tinto Hacendado,0.57,1.0,L
23,Reduccion de vinagre Pedro Ximenez Hacendado,2.0,300.0,g
24,Aceite de oliva. vinagre y sal Merry,1.35,150.0,ml
25,Crema de vinagre balsamico de manzana Hacendado,2.15,250.0,g
26,Sal fina Hacendado,0.22,1.0,kg
27,Sal fina de mesa Hacendado,0.38,250.0,g
28,Sal yodada fina Hacendado,0.22,1.0,kg
29,Sal gruesa Hacendado,0.2,1.0,kg
30,Bicarbonato sodico Hacendado,1.19,1.0,kg
31,Bicarbonato sodico Hacendado,0.45,300.0,g
32,Sal marina en escamas Polasal,1.85,125.0,g
33,Sal gruesa para hornear Hacendado,0.71,2.0,kg
34,Sal de ajo Hacendado,1.0,130.0,g
35,Sal de frutas sabor limon Hacendado,1.59,250.0,g
36,Sal 60% menos de sodio Hacendado,1.2,250.0,g
37,Molinillo sal marina con hierbas Hacendado,1.6,110.0,g
38,Preparado para salmon ahumado Hacendado,2.0,750.0,g
39,Sal rosa del Himalaya Hacendado,1.7,250.0,g
40,Oregano Hacendado,0.56,18.0,g
41,Perejil Hacendado,0.55,14.0,g
42,Hoja de laurel Hacendado,0.66,12.0,g
43,Hierbas provenzales Hacendado,0.7,25.0,g
44,Albahaca Hacendado,0.65,20.0,g
45,Romero Hacendado,0.8,40.0,g
46,Tomillo Hacendado,0.69,28.0,g
47,Eneldo hojas Hacendado,1.05,22.0,g
48,Cilantro Hacendado,1.15,12.0,g
49,Colorante alimentario Hacendado,0.59,85.0,g
50,Colorante alimentario Hacendado,1.0,875.0,g
51,Pimenton dulce Hacendado,0.55,56.0,g
52,Pimenton dulce Hacendado,0.9,75.0,g
53,Pimenton dulce de la Vera Hacendado,1.38,75.0,g
54,Azafran molido Hacendado,1.55,1.6,g
55,Azafran hebra Hacendado,1.5,1.1400000000000001,g
56,Pimenton picante Hacendado,0.75,60.0,g
57,Pimenton picante de la Vera Hacendado,1.45,75.0,g
58,Pimienta negra molida Hacendado,0.69,70.0,g
59,Molinillo pimienta negra Hacendado,1.32,65.0,g
60,Pimienta negra en grano Hacendado,0.75,70.0,g
61,Molinillo mix pimientas Hacendado,1.4,50.0,g
62,Pimienta blanca molida Hacendado,1.05,70.0,g
63,Pimienta verde en grano Hacendado,1.68,100.0,g
64,Ajo granulado Hacendado,0.67,85.0,g
65,Pinones ibericos Hacendado,4.55,50.0,g
66,Cebolla frita crujiente Hacendado,0.85,150.0,g
67,Canela molida Hacendado,0.51,52.0,g
68,Canela en rama Hacendado,1.2,18.0,g
69,Comino molido Hacendado,0.63,58.0,g
70,Comino en grano Hacendado,0.8,56.0,g
71,Curry Hacendado,0.62,57.0,g
72,Nuez moscada molida Hacendado,1.1,58.0,g
73,Cebolla en polvo Hacendado,0.95,60.0,g
74,Cayena guindillas Hacendado,0.95,27.0,g
75,Cayena molida Hacendado,1.15,55.0,g
76,Curcuma Hacendado,1.15,60.0,g
77,Jengibre molido Hacendado,1.1,49.0,g
78,Sal de ajo Hacendado,1.0,130.0,g
79,Ãoras Hacendado,0.96,25.0,g
80,Clavo en grano Hacendado,1.1,42.0,g
81,Vainilla en rama Hacendado,2.5,2.0,ud
82,Trufas,3.5,150.0,g
83,Anis en grano Hacendado,0.9,50.0,g
84,Pimientos choriceros dulces del cristal Hacendado,1.6,50.0,g
85,Sazonador para fajitas Hacendado sabor tex-mex,0.79,30.0,g
86,Sazonador al horno y microondas pollo al ajo y limon Hacendado,0.95,120.0,g
87,Sazonador al horno y microondas pollo y costillas a las hierbas provenzales Hacendado,0.95,96.0,g
88,Sazonador sabor barbacoa Hacendado,0.95,96.0,g
89,Preparado para paella con azafran Hacendado,1.65,76.0,g
90,Sazonador para paella con azafran Hacendado,1.3,100.0,g
91,Sazonador para burritos Hacendado,0.79,40.0,g
92,Sazonador pollo asado Hacendado,1.05,92.0,g
93,Sazonador espagueti Hacendado,1.4,45.0,g
94,Molinillo sal marina con hierbas Hacendado,1.6,110.0,g
95,Sazonador ensalada Hacendado,1.55,95.0,g
96,Sazonador barbacoa Hacendado,1.4,98.0,g
97,Sazonador al horno y microondas pescado a las finas hierbas Hacendado,0.95,56.0,g
98,Sazonador pescado Hacendado,1.4,95.0,g
99,Mayonesa Hacendado,1.0,500.0,ml
100,Mayonesa Hacendado,0.7,225.0,ml
101,Mayonesa Hacendado,1.1,460.0,ml
102,Mayonesa en sobres individuales Hacendado,1.0,240.0,ml
103,Mayonesa Hellmann's,1.99,475.0,ml
104,Mayonesa Hellmann's,1.25,225.0,ml
105,Salsa ligera Ligeresa,1.99,475.0,ml
106,Salsa ligera Ligeresa,1.0,225.0,ml
107,Salsa ligera Ligeresa,1.7,430.0,ml
108,Mayonesa Ybarra,1.6,500.0,ml
109,Salsa fina Kraft,1.15,430.0,ml
110,Mayonesa Musa,1.65,540.0,ml
