,producto,link,nombre_prod,Q,precio,anadir,precio_medida,medida,medida_rel,q_medida,medida_
0,"Aceite de oliva 0.4º Hacendado
Garrafa 5 L
15.50 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Aceite de oliva 0.4º Hacendado,Garrafa 5 L,15.50 € /ud.,Anadir al carro,15.50,ud.,5 L,5,L
1,"Aceite de oliva 0.4º Hacendado
Botella 1 L
3.20 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Aceite de oliva 0.4º Hacendado,Botella 1 L,3.20 € /ud.,Anadir al carro,3.20,ud.,1 L,1,L
2,"Aceite de oliva virgen extra Hacendado
Garrafa 3 L
11.00 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Aceite de oliva virgen extra Hacendado,Garrafa 3 L,11.00 € /ud.,Anadir al carro,11.00,ud.,3 L,3,L
3,"Aceite de oliva virgen extra Hacendado
Botella 1 L
3.95 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Aceite de oliva virgen extra Hacendado,Botella 1 L,3.95 € /ud.,Anadir al carro,3.95,ud.,1 L,1,L
4,"Aceite de oliva virgen extra Hacendado Gran Seleccion
Botella 750 ml
4.10 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Aceite de oliva virgen extra Hacendado Gran Seleccion,Botella 750 ml,4.10 € /ud.,Anadir al carro,4.10,ud.,750 ml,750,ml
5,"Aceite de oliva 1º Hacendado
Garrafa 5 L
15.50 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Aceite de oliva 1º Hacendado,Garrafa 5 L,15.50 € /ud.,Anadir al carro,15.50,ud.,5 L,5,L
6,"Aceite de oliva 1º Hacendado
Botella 1 L
3.20 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Aceite de oliva 1º Hacendado,Botella 1 L,3.20 € /ud.,Anadir al carro,3.20,ud.,1 L,1,L
7,"Aceite de oliva virgen Hacendado
Garrafa 3 L
10.00 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Aceite de oliva virgen Hacendado,Garrafa 3 L,10.00 € /ud.,Anadir al carro,10.00,ud.,3 L,3,L
8,"Aceite de oliva virgen Hacendado
Botella 1 L
3.50 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Aceite de oliva virgen Hacendado,Botella 1 L,3.50 € /ud.,Anadir al carro,3.50,ud.,1 L,1,L
9,"Aceite de oliva virgen extra Hacendado
Spray 200 ml
2.00 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Aceite de oliva virgen extra Hacendado,Spray 200 ml,2.00 € /ud.,Anadir al carro,2.00,ud.,200 ml,200,ml
10,"Aceite de oliva virgen extra Picual Casa Juncal
Botella 500 ml
3.95 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Aceite de oliva virgen extra Picual Casa Juncal,Botella 500 ml,3.95 € /ud.,Anadir al carro,3.95,ud.,500 ml,500,ml
11,"Aceite de girasol refinado 0.2º Hacendado
Garrafa 5 L
6.95 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Aceite de girasol refinado 0.2º Hacendado,Garrafa 5 L,6.95 € /ud.,Anadir al carro,6.95,ud.,5 L,5,L
12,"Aceite de girasol refinado 0.2º Hacendado
Botella 1 L
1.45 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Aceite de girasol refinado 0.2º Hacendado,Botella 1 L,1.45 € /ud.,Anadir al carro,1.45,ud.,1 L,1,L
13,"Aceite de aguacate Ethnos
Botella 250 ml
5.00 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Aceite de aguacate Ethnos,Botella 250 ml,5.00 € /ud.,Anadir al carro,5.00,ud.,250 ml,250,ml
14,"Aceite de coco virgen Hacendado
Bote 450 ml
4.50 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Aceite de coco virgen Hacendado,Bote 450 ml,4.50 € /ud.,Anadir al carro,4.50,ud.,450 ml,450,ml
15,"Vinagre de vino blanco Hacendado
Botella 1 L
0.47 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Vinagre de vino blanco Hacendado,Botella 1 L,0.47 € /ud.,Anadir al carro,0.47,ud.,1 L,1,L
16,"Vinagre balsamico de Modena Hacendado
Botella 250 ml
1.15 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Vinagre balsamico de Modena Hacendado,Botella 250 ml,1.15 € /ud.,Anadir al carro,1.15,ud.,250 ml,250,ml
