,producto,precio,cantidad,medida,cantidad_,categoria,supermercado
0,DIA DULCE NOEL turron suprema Jijona estuche 150 gr,1.89,0.15,kg,0.15,turron,dia
1,DIA DULCE NOEL turron de yema tostada suprema estuche 150 gr,1.49,0.15,kg,0.15,turron,dia
2,DIA DULCE NOEL turron imperiaL de cacahuete estuche 150 gr,0.99,0.15,kg,0.15,turron,dia
3,DIA DULCE NOEL turron de crema de cacahuete estuche 150 gr,0.99,0.15,kg,0.15,turron,dia
4,DIA DULCE NOEL aLmendra reLLena surtido 10 gr,0.13,0.01,kg,0.01,almendras,dia
5,DIA DULCE NOEL turron de tres chocoLates estuche 150 gr,1.49,0.15,kg,0.15,turron,dia
6,DIA DULCE NOEL turron de chocoLate bLanco crujiente estuche 200 gr,1.49,0.2,kg,0.2,turron,dia
7,DIA DULCE NOEL turron chocoLate con Leche crujiente cLasico estuche 200 gr,0.99,0.2,kg,0.2,chocolate con leche,dia
8,DIA DULCE NOEL turron de praLine de trufa suprema estuche 150 gr,1.59,0.15,kg,0.15,turron,dia
9,DIA DULCE NOEL turron de coco extra estuche 150 gr,0.99,0.15,kg,0.15,turron,dia
10,DIA DULCE NOEL turron de chocoLate con cacahuetes con mieL estuche 150 gr,0.99,0.15,kg,0.15,turron,dia
11,DIA DULCE NOEL turron crujiente con gaLLetas estuche 200 gr,1.49,0.2,kg,0.2,turron,dia
12,DIA DULCE NOEL mazapan de soto/ empanada de yema surtido 26 gr,0.34,0.026,kg,0.026,mazapan,dia
13,DIA DULCE NOEL turron praLine de ron con pasas estuche 150 gr,1.69,0.15,kg,0.15,turron,dia
14,DIA DULCE NOEL rosco de vino surtido 32 gr,0.13,0.033,kg,0.033,vino dulce,dia
15,DIA DULCE NOEL turron cacao aLmendra/crujiente surtido 20 gr,0.26,0.02,kg,0.02,almendras,dia
16,DIA DULCE NOEL poLvoron aLmendra surtido 45 gr,0.18,0.046,kg,0.046,almendras,dia
17,DIA DULCE NOEL turron de chocoLate con Leche con aLmendras estuche 200 gr,1.79,0.2,kg,0.2,turron,dia
18,DIA DULCE NOEL turron de chocoLate negro crujiente estuche 200 gr,1.49,0.2,kg,0.2,turron,dia
19,DIA DULCE NOEL mantecado de Limon/cacao/caneLa surtido 48 gr,0.19,0.048,kg,0.048,canela,dia
22,DIA DULCE NOEL mantecado aceite de oLiva/sesamo surtido 42 gr,0.17,0.043,kg,0.043,aceite de oliva,dia
23,DIA DULCE NOEL figurita de mazapan surtido 15 gr,0.19,0.015,kg,0.015,mazapan,dia
24,SUCHARD turron de chocoLate oreo bLanco estuche 260 gr,3.49,0.26,kg,0.26,turron,dia
25,DIA DULCE NOEL turron praLine de crema cataLana estuche 150 gr,1.59,0.15,kg,0.15,turron,dia
26,LACASA turron crujiente de chocoLate estuche 150 gr,1.0,0.15,kg,0.15,turron,dia
27,LACASA turron crujiente chocoLate negro estuche 150 gr,1.0,0.15,kg,0.15,chocolate negro,dia
28,DIA DULCE NOEL turron imperiaL de aLmendras sin azucar estuche 150 gr,2.19,0.15,kg,0.15,almendras,dia
29,DIA DULCE NOEL turron de crema de aLmendras sin azucar estuche 150 gr,2.19,0.15,kg,0.15,almendras,dia
30,DIA DULCE NOEL turron crujiente bLanco con gaLLetas estuche 200 gr,1.49,0.2,kg,0.2,turron,dia
31,DIA DULCE NOEL turron con grajeas de chocoLate estuche 100 gr,0.99,0.1,kg,0.1,turron,dia
32,NESTLE turron jungLy de chocoLate estuche 232 gr,2.99,0.232,kg,0.232,turron,dia
36,KINDER casita mini mix navidad caja 76 gr (modeLo aLeatorio) ,2.75,0.076,kg,0.076,chocolatinas,dia
38,DIA DULCE NOEL aLfajor de aLmendra y aveLLana a graneL unidad (24 gr peso aprox.),0.31,0.024,kg,0.024,avellanas,dia
39,DIA DULCE NOEL turron con duLce de Leche estuche 150 gr,1.59,0.15,kg,0.15,turron,dia
41,NICKELODEON mix de carameLos arboL de Navidad Lata 80 gr (modeLo aLeatorio) ,3.99,0.08,kg,0.08,caramelos,dia
42,NICKELODEON mix de carameLos Lata redonda 90 gr (modeLo aLeatorio),4.99,0.08,kg,0.08,caramelos,dia
43,NICKELODEON mix de carameLos caLcetin de Navidad Lata 80 gr (modeLo aLeatorio),3.99,0.08,kg,0.08,caramelos,dia
47,EL LOBO turron de aLicante estuche 250 gr,3.49,0.2,kg,0.2,turron,dia
48,LACASA turron guirLache de aragon estuche 240 gr,5.49,0.24,kg,0.24,turron,dia
51,DIA DULCE NOEL figuritas de mazapan caja 200 gr,1.85,0.2,kg,0.2,mazapan,dia
53,EL LOBO turron de Jijona estuche 250 gr,3.49,0.2,kg,0.2,turron,dia
54,EL LOBO torta turron de aLicante estuche 200 gr,3.19,0.15,kg,0.15,turron,dia
55,EL LOBO turron de yema tostada estuche 200 gr,3.49,0.2,kg,0.2,turron,dia
56,SUCHARD turron de chocoLate estuche 260 gr ,3.49,0.26,kg,0.26,turron,dia
57,SUCHARD turron de chocoLate oreo bLanco estuche 260 gr,3.49,0.26,kg,0.26,turron,dia
58,SUCHARD turron de chocoLate con oreo estuche 260 gr,3.49,0.26,kg,0.26,turron,dia
59,RIEGELEIN figura de chocoLate con Leche Reyes Magos 1 ud 60 gr  (modeLo aLeatorio),1.0,0.06,kg,0.06,gel de ducha,dia
62,MIDEL baston navidad de carameLo 40 gr ,1.0,0.04,kg,0.04,caramelos,dia
66,SUCHARD turron cLasico de chocoLate Lata 2 uds 520 gr,7.49,0.52,kg,0.52,turron,dia
67,DIA DULCE NOEL turron suprema ALicante estuche 150gr,1.89,0.15,kg,0.15,turron,dia
68,EL MOLINO DE DIA empanada de atun 550 gr,3.1,0.55,kg,0.55,empanada,dia
69,EnsaLada mixta bandeja 400 gr ,1.85,0.4,kg,0.4,ensalada,dia
