,producto,precio,cantidad,medida,categoria,supermercado
0,Aceite de oliva 0.4Âº Hacendado,15.5,5.0,L,aceite de oliva,mercadona
1,Aceite de oliva 0.4Âº Hacendado,3.2,1.0,L,aceite de oliva,mercadona
2,Aceite de oliva virgen extra Hacendado,11.0,3.0,L,aceite de oliva virgen extra,mercadona
3,Aceite de oliva virgen extra Hacendado,3.95,1.0,L,aceite de oliva virgen extra,mercadona
4,Aceite de oliva virgen extra Hacendado Gran Seleccion,4.1,0.75,L,aceite de oliva virgen extra,mercadona
5,Aceite de oliva 1Âº Hacendado,15.5,5.0,L,aceite de oliva,mercadona
6,Aceite de oliva 1Âº Hacendado,3.2,1.0,L,aceite de oliva,mercadona
7,Aceite de oliva virgen Hacendado,10.0,3.0,L,aceite de oliva,mercadona
8,Aceite de oliva virgen Hacendado,3.5,1.0,L,aceite de oliva,mercadona
9,Aceite de oliva virgen extra Hacendado,2.0,0.2,L,aceite de oliva virgen extra,mercadona
10,Aceite de oliva virgen extra Picual Casa Juncal,3.95,0.5,L,aceite de oliva virgen extra,mercadona
11,Aceite de girasol refinado 0.2Âº Hacendado,6.95,5.0,L,aceite de girasol,mercadona
12,Aceite de girasol refinado 0.2Âº Hacendado,1.45,1.0,L,aceite de girasol,mercadona
13,Aceite de aguacate Ethnos,5.0,0.25,L,aceite de aguacate,mercadona
14,Aceite de coco virgen Hacendado,4.5,0.45,L,aceite de coco,mercadona
15,Vinagre de vino blanco Hacendado,0.47,1.0,L,vinagre de vino blanco,mercadona
16,Vinagre balsamico de Modena Hacendado,1.15,0.25,L,vinagre balsamico,mercadona
17,Vinagre de manzana Hacendado,0.62,1.0,L,manzanas,mercadona
19,Crema de vinagre balsamico de Modena Hacendado,1.6,0.25,kg,vinagre balsamico,mercadona
20,Vinagre de Jerez reserva Hacendado,1.2,0.25,L,vinagre de jerez,mercadona
22,Vinagre de vino tinto Hacendado,0.57,1.0,L,vinagre,mercadona
23,Reduccion de vinagre Pedro Ximenez Hacendado,2.0,0.3,kg,reduccion de vinagre,mercadona
24,Aceite de oliva. vinagre y sal Merry,1.35,0.15,L,aceite de oliva,mercadona
25,Crema de vinagre balsamico de manzana Hacendado,2.15,0.25,kg,vinagre balsamico,mercadona
26,Sal fina Hacendado,0.22,1.0,kg,sal fina,mercadona
27,Sal fina de mesa Hacendado,0.38,0.25,kg,sal fina,mercadona
28,Sal yodada fina Hacendado,0.22,1.0,kg,sal fina,mercadona
29,Sal gruesa Hacendado,0.2,1.0,kg,sal gruesa,mercadona
30,Bicarbonato sodico Hacendado,1.19,1.0,kg,bicarbonato sodico,mercadona
31,Bicarbonato sodico Hacendado,0.45,0.3,kg,bicarbonato sodico,mercadona
32,Sal marina en escamas Polasal,1.85,0.125,kg,sal,mercadona
33,Sal gruesa para hornear Hacendado,0.71,2.0,kg,sal para hornear,mercadona
34,Sal de ajo Hacendado,1.0,0.13,kg,sal,mercadona
35,Sal de frutas sabor limon Hacendado,1.59,0.25,kg,sal de frutas,mercadona
36,Sal 60% menos de sodio Hacendado,1.2,0.25,kg,sal,mercadona
37,Molinillo sal marina con hierbas Hacendado,1.6,0.11,kg,sal,mercadona
39,Sal rosa del Himalaya Hacendado,1.7,0.25,kg,sal rosa del himalaya,mercadona
40,Oregano Hacendado,0.56,0.018,kg,oregano,mercadona
41,Perejil Hacendado,0.55,0.014,kg,perejil,mercadona
42,Hoja de laurel Hacendado,0.66,0.012,kg,laurel,mercadona
43,Hierbas provenzales Hacendado,0.7,0.025,kg,hierbas provenzales,mercadona
44,Albahaca Hacendado,0.65,0.02,kg,albahaca,mercadona
45,Romero Hacendado,0.8,0.04,kg,romero,mercadona
46,Tomillo Hacendado,0.69,0.028,kg,tomillo,mercadona
47,Eneldo hojas Hacendado,1.05,0.022,kg,eneldo,mercadona
48,Cilantro Hacendado,1.15,0.012,kg,cilantro,mercadona
49,Colorante alimentario Hacendado,0.59,0.085,kg,colorante alimentario,mercadona
50,Colorante alimentario Hacendado,1.0,0.875,kg,colorante alimentario,mercadona
51,Pimenton dulce Hacendado,0.55,0.056,kg,pimenton dulce,mercadona
52,Pimenton dulce Hacendado,0.9,0.075,kg,pimenton dulce,mercadona
53,Pimenton dulce de la Vera Hacendado,1.38,0.075,kg,pimenton dulce,mercadona
54,Azafran molido Hacendado,1.55,0.0016,kg,azafran,mercadona
55,Azafran hebra Hacendado,1.5,0.00114,kg,azafran,mercadona
56,Pimenton picante Hacendado,0.75,0.06,kg,pimenton picante,mercadona
57,Pimenton picante de la Vera Hacendado,1.45,0.075,kg,pimenton picante,mercadona
58,Pimienta negra molida Hacendado,0.69,0.07,kg,pimienta negra,mercadona
59,Molinillo pimienta negra Hacendado,1.32,0.065,kg,pimienta negra,mercadona
60,Pimienta negra en grano Hacendado,0.75,0.07,kg,pimienta negra,mercadona
62,Pimienta blanca molida Hacendado,1.05,0.07,kg,pimienta blanca,mercadona
63,Pimienta verde en grano Hacendado,1.68,0.1,kg,pimienta verde,mercadona
64,Ajo granulado Hacendado,0.67,0.085,kg,ajo en polvo,mercadona
65,Pinones ibericos Hacendado,4.55,0.05,kg,pinones,mercadona
66,Cebolla frita crujiente Hacendado,0.85,0.15,kg,cebolla frita crujiente,mercadona
67,Canela molida Hacendado,0.51,0.052,kg,canela,mercadona
68,Canela en rama Hacendado,1.2,0.018,kg,canela,mercadona
69,Comino molido Hacendado,0.63,0.058,kg,comino,mercadona
70,Comino en grano Hacendado,0.8,0.056,kg,comino,mercadona
71,Curry Hacendado,0.62,0.057,kg,curry,mercadona
72,Nuez moscada molida Hacendado,1.1,0.058,kg,nuez moscada,mercadona
73,Cebolla en polvo Hacendado,0.95,0.06,kg,cebolla,mercadona
76,Curcuma Hacendado,1.15,0.06,kg,curcuma,mercadona
77,Jengibre molido Hacendado,1.1,0.049,kg,jengibre,mercadona
78,Sal de ajo Hacendado,1.0,0.13,kg,sal,mercadona
80,Clavo en grano Hacendado,1.1,0.042,kg,clavo en grano,mercadona
81,Vainilla en rama Hacendado,2.5,2.0,ud,vainilla,mercadona
82,Trufas,3.5,0.15,kg,trufas,mercadona
83,Anis en grano Hacendado,0.9,0.05,kg,anis,mercadona
84,Pimientos choriceros dulces del cristal Hacendado,1.6,0.05,kg,pimientos choriceros,mercadona
85,Sazonador para fajitas Hacendado sabor tex-mex,0.79,0.03,kg,sazonador,mercadona
86,Sazonador al horno y microondas pollo al ajo y limon Hacendado,0.95,0.12,kg,sazonador,mercadona
87,Sazonador al horno y microondas pollo y costillas a las hierbas provenzales Hacendado,0.95,0.096,kg,hierbas provenzales,mercadona
88,Sazonador sabor barbacoa Hacendado,0.95,0.096,kg,sazonador,mercadona
90,Sazonador para paella con azafran Hacendado,1.3,0.1,kg,sazonador,mercadona
91,Sazonador para burritos Hacendado,0.79,0.04,kg,sazonador,mercadona
92,Sazonador pollo asado Hacendado,1.05,0.092,kg,sazonador,mercadona
93,Sazonador espagueti Hacendado,1.4,0.045,kg,sazonador,mercadona
94,Molinillo sal marina con hierbas Hacendado,1.6,0.11,kg,sal,mercadona
95,Sazonador ensalada Hacendado,1.55,0.095,kg,sazonador,mercadona
96,Sazonador barbacoa Hacendado,1.4,0.098,kg,sazonador,mercadona
97,Sazonador al horno y microondas pescado a las finas hierbas Hacendado,0.95,0.056,kg,sazonador,mercadona
98,Sazonador pescado Hacendado,1.4,0.095,kg,sazonador,mercadona
99,Mayonesa Hacendado,1.0,0.5,L,mayonesa,mercadona
100,Mayonesa Hacendado,0.7,0.225,L,mayonesa,mercadona
101,Mayonesa Hacendado,1.1,0.46,L,mayonesa,mercadona
102,Mayonesa en sobres individuales Hacendado,1.0,0.24,L,mayonesa,mercadona
103,Mayonesa Hellmann's,1.99,0.475,L,mayonesa,mercadona
104,Mayonesa Hellmann's,1.25,0.225,L,mayonesa,mercadona
105,Salsa ligera Ligeresa,1.99,0.475,L,salsa,mercadona
106,Salsa ligera Ligeresa,1.0,0.225,L,salsa,mercadona
107,Salsa ligera Ligeresa,1.7,0.43,L,salsa,mercadona
108,Mayonesa Ybarra,1.6,0.5,L,mayonesa,mercadona
109,Salsa fina Kraft,1.15,0.43,L,salsa,mercadona
110,Mayonesa Musa,1.65,0.54,L,mayonesa,mercadona
111,Salsa ligera Hacendado,1.0,0.5,L,salsa,mercadona
112,Salsa ligera Hacendado,0.7,0.225,L,salsa,mercadona
113,Salsa ligera Hacendado,1.1,0.46,L,salsa,mercadona
114,Ketchup Hacendado,0.8,0.6,kg,ketchup,mercadona
115,Ketchup en sobres individuales Hacendado,0.9,0.24,kg,ketchup,mercadona
116,Ketchup Heinz,2.35,0.57,kg,ketchup,mercadona
117,Ketchup tomato Develey,1.35,0.45,kg,ketchup,mercadona
118,Ketchup light Hacendado,1.0,0.6,kg,ketchup,mercadona
119,Mostaza dulce Hacendado,0.8,0.33,kg,mostaza,mercadona
120,Mostaza Hacendado,0.68,0.33,kg,mostaza,mercadona
121,Mostaza a la antigua Hacendado,0.9,0.2,kg,mostaza,mercadona
122,Mostaza de Dijon Hacendado,0.9,0.2,kg,mostaza,mercadona
123,Allioli Chovi,1.09,0.18,L,allioli,mercadona
124,Allioli Chovi,0.44,0.063,L,allioli,mercadona
125,Allioli Hacendado,0.7,0.2,L,allioli,mercadona
126,Allioli en sobres individuales Hacendado,1.2,0.16,L,allioli,mercadona
127,Tomate frito Hacendado,0.9,1.2,kg,tomate frito,mercadona
128,Tomate frito Hacendado,0.8,0.63,kg,tomate frito,mercadona
129,Tomate frito Hacendado,0.68,0.56,kg,tomate frito,mercadona
130,Tomate frito receta artesana Hacendado,1.7,0.56,kg,tomate frito,mercadona
131,Tomate frito receta artesana Hacendado,1.28,0.3,kg,tomate frito,mercadona
132,Tomate frito Hida,1.18,0.4,kg,tomate frito,mercadona
133,Tomate frito estilo casero Hacendado,0.93,0.38,kg,tomate frito,mercadona
135,Tomate frito sin azucares anadidos Hacendado,0.94,0.56,kg,tomate frito,mercadona
137,Salsa barbacoa Hacendado,1.0,0.35,kg,salsa barbacoa,mercadona
138,Salsa pimienta verde Hacendado,0.75,0.05,kg,pimienta verde,mercadona
139,Salsa burger Hacendado,1.25,0.25,L,salsa,mercadona
140,Salsa barbacoa dulce y picante Hacendado,1.25,0.25,L,salsa barbacoa,mercadona
141,Salsa estilo argentino Hacendado,1.2,0.285,kg,salsa,mercadona
142,Salsa chimichurri Hacendado,1.25,0.25,L,salsa chimichurri,mercadona
143,Salsa Piri Piri Hacendado,1.0,0.195,L,salsa piri piri,mercadona
144,Salsa fresca Roquefort Hacendado,1.3,0.13,kg,salsa roquefort,mercadona
145,Salsa pesto alla genovese Hacendado,1.5,0.2,kg,salsa pesto,mercadona
146,Salsa bolonesa Hacendado,0.95,0.3,kg,salsa bolonesa,mercadona
147,Salsa de tomate. albahaca y oregano Hacendado,0.95,0.3,kg,oregano,mercadona
148,Salsa fresca Trufa Hacendado,1.3,0.14,kg,salsa,mercadona
149,Salsa fresca Queso Hacendado,1.2,0.18,kg,salsa de queso,mercadona
150,Salsa fresca Pesto Hacendado,1.2,0.15,kg,salsa pesto,mercadona
151,Salsa fresca Setas Hacendado,1.2,0.2,kg,salsa setas,mercadona
152,Salsa fresca Carbonara Hacendado,1.2,0.2,kg,salsa carbonara,mercadona
153,Salsa napolitana Hacendado,0.95,0.3,kg,salsa,mercadona
154,Salsa pesto rosso Hacendado,1.25,0.2,kg,salsa pesto,mercadona
155,Salsa de soja Hacendado,1.35,0.25,L,salsa soja,mercadona
156,Salsa teriyaki Hacendado,1.5,0.25,L,salsa teriyaki,mercadona
157,Salsa de soja dulce Hacendado,1.35,0.25,L,salsa soja,mercadona
158,Salsa agridulce Hacendado,1.0,0.35,kg,agridulce,mercadona
159,Salsa thai chili dulce J-Lek,1.0,0.235,L,salsa,mercadona
160,Salsa de soja sin gluten Hacendado,2.4,0.25,L,salsa soja,mercadona
161,Salsa de ostras Hacendado,1.8,0.255,kg,salsa,mercadona
162,Guacamole Hacendado,3.29,0.5,kg,guacamole,mercadona
163,Guacamole Hacendado,1.59,0.2,kg,guacamole,mercadona
164,Bechamel Hacendado,1.55,0.6,L,bechamel,mercadona
165,Salsa mexicana Hacendado,1.2,0.3,kg,salsa mexicana,mercadona
166,Salsa cesar Hacendado,1.2,0.31,L,salsa cesar,mercadona
167,Alino de aceite. ajo y perejil Hacendado,1.2,0.15,L,perejil,mercadona
168,Salsa de queso Hacendado,1.25,0.3,kg,salsa de queso,mercadona
169,Salsa miel y mostaza Hacendado,1.2,0.3,L,mostaza,mercadona
170,Salsa yogur Hacendado,1.2,0.31,L,salsa,mercadona
