,producto,link,nombre_prod,Q,precio,anadir
0,"Aceite de oliva 0,4º Hacendado
Garrafa 5 L
15,50 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/112,"Aceite de oliva 0,4º Hacendado",Garrafa 5 L,"15,50 € /ud.",Añadir al carro
1,"Aceite de oliva 0,4º Hacendado
Botella 1 L
3,20 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/112,"Aceite de oliva 0,4º Hacendado",Botella 1 L,"3,20 € /ud.",Añadir al carro
2,"Aceite de oliva virgen extra Hacendado
Garrafa 3 L
11,00 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/112,Aceite de oliva virgen extra Hacendado,Garrafa 3 L,"11,00 € /ud.",Añadir al carro
3,"Aceite de oliva virgen extra Hacendado
Botella 1 L
3,95 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/112,Aceite de oliva virgen extra Hacendado,Botella 1 L,"3,95 € /ud.",Añadir al carro
4,"Aceite de oliva virgen extra Hacendado Gran Selección
Botella 750 ml
4,10 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/112,Aceite de oliva virgen extra Hacendado Gran Selección,Botella 750 ml,"4,10 € /ud.",Añadir al carro
5,"Aceite de oliva 1º Hacendado
Garrafa 5 L
15,50 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/112,Aceite de oliva 1º Hacendado,Garrafa 5 L,"15,50 € /ud.",Añadir al carro
6,"Aceite de oliva 1º Hacendado
Botella 1 L
3,20 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/112,Aceite de oliva 1º Hacendado,Botella 1 L,"3,20 € /ud.",Añadir al carro
7,"Aceite de oliva virgen Hacendado
Garrafa 3 L
10,00 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/112,Aceite de oliva virgen Hacendado,Garrafa 3 L,"10,00 € /ud.",Añadir al carro
8,"Aceite de oliva virgen Hacendado
Botella 1 L
3,50 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/112,Aceite de oliva virgen Hacendado,Botella 1 L,"3,50 € /ud.",Añadir al carro
9,"Aceite de oliva virgen extra Hacendado
Spray 200 ml
2,00 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/112,Aceite de oliva virgen extra Hacendado,Spray 200 ml,"2,00 € /ud.",Añadir al carro
10,"Aceite de oliva virgen extra Picual Casa Juncal
Botella 500 ml
3,95 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/112,Aceite de oliva virgen extra Picual Casa Juncal,Botella 500 ml,"3,95 € /ud.",Añadir al carro
11,"Aceite de girasol refinado 0,2º Hacendado
Garrafa 5 L
6,95 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/112,"Aceite de girasol refinado 0,2º Hacendado",Garrafa 5 L,"6,95 € /ud.",Añadir al carro
12,"Aceite de girasol refinado 0,2º Hacendado
Botella 1 L
1,45 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/112,"Aceite de girasol refinado 0,2º Hacendado",Botella 1 L,"1,45 € /ud.",Añadir al carro
13,"Aceite de aguacate Ethnos
Botella 250 ml
5,00 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/112,Aceite de aguacate Ethnos,Botella 250 ml,"5,00 € /ud.",Añadir al carro
14,"Aceite de coco virgen Hacendado
Bote 450 ml
4,50 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/112,Aceite de coco virgen Hacendado,Bote 450 ml,"4,50 € /ud.",Añadir al carro
15,"Vinagre de vino blanco Hacendado
Botella 1 L
0,47 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/112,Vinagre de vino blanco Hacendado,Botella 1 L,"0,47 € /ud.",Añadir al carro
16,"Vinagre balsámico de Módena Hacendado
Botella 250 ml
1,15 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/112,Vinagre balsámico de Módena Hacendado,Botella 250 ml,"1,15 € /ud.",Añadir al carro
17,"Vinagre de manzana Hacendado
Botella 1 L
0,62 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/112,Vinagre de manzana Hacendado,Botella 1 L,"0,62 € /ud.",Añadir al carro
18,"Limón exprimido Hacendado
Botella 280 ml
0,88 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/112,Limón exprimido Hacendado,Botella 280 ml,"0,88 € /ud.",Añadir al carro
19,"Crema de vinagre balsámico de Módena Hacendado
Botella 250 g
1,60 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/112,Crema de vinagre balsámico de Módena Hacendado,Botella 250 g,"1,60 € /ud.",Añadir al carro
20,"Vinagre de Jerez reserva Hacendado
Botella 250 ml
1,20 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/112,Vinagre de Jerez reserva Hacendado,Botella 250 ml,"1,20 € /ud.",Añadir al carro
21,"Bebida aromatizada a base de vino para cocinar Abuela Carola
Botella 750 ml
1,90 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/112,Bebida aromatizada a base de vino para cocinar Abuela Carola,Botella 750 ml,"1,90 € /ud.",Añadir al carro
22,"Vinagre de vino tinto Hacendado
Botella 1 L
0,57 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/112,Vinagre de vino tinto Hacendado,Botella 1 L,"0,57 € /ud.",Añadir al carro
23,"Reducción de vinagre Pedro Ximénez Hacendado
Botella 300 g
2,00 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/112,Reducción de vinagre Pedro Ximénez Hacendado,Botella 300 g,"2,00 € /ud.",Añadir al carro
24,"Aceite de oliva, vinagre y sal Merry
15 monodosis x 10 ml
1,35 € /pack
Añadir al carro",https://tienda.mercadona.es/categories/112,"Aceite de oliva, vinagre y sal Merry",15 monodosis x 10 ml,"1,35 € /pack",Añadir al carro
25,"Crema de vinagre balsámico de manzana Hacendado
Botella 250 g
2,15 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/112,Crema de vinagre balsámico de manzana Hacendado,Botella 250 g,"2,15 € /ud.",Añadir al carro
26,"Sal fina Hacendado
Paquete 1 kg
0,22 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/112,Sal fina Hacendado,Paquete 1 kg,"0,22 € /ud.",Añadir al carro
27,"Sal fina de mesa Hacendado
Bote 250 g
0,38 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/112,Sal fina de mesa Hacendado,Bote 250 g,"0,38 € /ud.",Añadir al carro
28,"Sal yodada fina Hacendado
Paquete 1 kg
0,22 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/112,Sal yodada fina Hacendado,Paquete 1 kg,"0,22 € /ud.",Añadir al carro
29,"Sal gruesa Hacendado
Paquete 1 kg
0,20 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/112,Sal gruesa Hacendado,Paquete 1 kg,"0,20 € /ud.",Añadir al carro
30,"Bicarbonato sódico Hacendado
Paquete 1 kg
1,19 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/112,Bicarbonato sódico Hacendado,Paquete 1 kg,"1,19 € /ud.",Añadir al carro
31,"Bicarbonato sódico Hacendado
Bote 300 g
0,45 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/112,Bicarbonato sódico Hacendado,Bote 300 g,"0,45 € /ud.",Añadir al carro
32,"Sal marina en escamas Polasal
Bote 125 g
1,85 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/112,Sal marina en escamas Polasal,Bote 125 g,"1,85 € /ud.",Añadir al carro
33,"Sal gruesa para hornear Hacendado
Paquete 2 kg
0,71 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/112,Sal gruesa para hornear Hacendado,Paquete 2 kg,"0,71 € /ud.",Añadir al carro
34,"Sal de ajo Hacendado
Bote 130 g
1,00 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/112,Sal de ajo Hacendado,Bote 130 g,"1,00 € /ud.",Añadir al carro
35,"Sal de frutas sabor limón Hacendado
Bote 250 g
1,59 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/112,Sal de frutas sabor limón Hacendado,Bote 250 g,"1,59 € /ud.",Añadir al carro
36,"Sal 60% menos de sodio Hacendado
Bote 250 g
1,20 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/112,Sal 60% menos de sodio Hacendado,Bote 250 g,"1,20 € /ud.",Añadir al carro
37,"Molinillo sal marina con hierbas Hacendado
Bote 110 g
1,60 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/112,Molinillo sal marina con hierbas Hacendado,Bote 110 g,"1,60 € /ud.",Añadir al carro
38,"Preparado para salmón ahumado Hacendado
Bote 750 g
2,00 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/112,Preparado para salmón ahumado Hacendado,Bote 750 g,"2,00 € /ud.",Añadir al carro
39,"Sal rosa del Himalaya Hacendado
Bote 250 g
1,70 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/112,Sal rosa del Himalaya Hacendado,Bote 250 g,"1,70 € /ud.",Añadir al carro
40,"Orégano Hacendado
Bote 18 g
0,56 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/115,Orégano Hacendado,Bote 18 g,"0,56 € /ud.",Añadir al carro
41,"Perejil Hacendado
Bote 14 g
0,55 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/115,Perejil Hacendado,Bote 14 g,"0,55 € /ud.",Añadir al carro
42,"Hoja de laurel Hacendado
Paquete 12 g
0,66 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/115,Hoja de laurel Hacendado,Paquete 12 g,"0,66 € /ud.",Añadir al carro
43,"Hierbas provenzales Hacendado
Bote 25 g
0,70 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/115,Hierbas provenzales Hacendado,Bote 25 g,"0,70 € /ud.",Añadir al carro
44,"Albahaca Hacendado
Bote 20 g
0,65 € /ud.
Añadir al carro",https://tienda.mercadona.es/categories/115,Albahaca Hacendado,Bote 20 g,"0,65 € /ud.",Añadir al carro
